policy_entropy,nupdates,fps,approxkl,clipfrac,explained_variance,value_loss,time_elapsed,eprewmean,serial_timesteps,total_timesteps,policy_loss,eplenmean
0.95500624,138,329,0.016111592,0.14780274,0.49547797441482544,0.051245578,795.2615792751312,3.14,282624,282624,0.0003738398,1245.26
0.86605394,139,332,0.01818434,0.13271484,0.47876453399658203,0.1690502,801.4258279800415,3.29,284672,284672,-0.0070423223,1224.83
0.9864273,140,350,0.02218524,0.22373047,0.7620931565761566,0.0041638785,807.2647175788879,3.29,286720,286720,-0.00063551293,1214.36
0.9630393,141,347,0.01842061,0.1899414,0.5302819013595581,0.059619576,813.1614727973938,3.36,288768,288768,-0.0032280553,1199.94
0.83372897,142,332,0.018237924,0.17802735,0.7425113916397095,0.02557365,819.3249394893646,3.4,290816,290816,-0.0004907117,1178.6
0.875689,143,279,0.0064296387,0.08139648,0.5243178009986877,0.042136118,826.6606888771057,3.46,292864,292864,-0.000904469,1126.81
0.9080328,144,303,0.025361776,0.2928711,0.7103612124919891,0.0043036775,833.417483329773,3.46,294912,294912,-0.022685055,1100.27
0.86541444,145,342,0.013234262,0.18110351,0.26919424533843994,0.14910628,839.398500919342,3.56,296960,296960,0.0011769444,1085.77
0.9729204,146,329,0.009706495,0.13569336,0.24420452117919922,0.40697223,845.6159946918488,3.81,299008,299008,0.0017998548,1064.43
0.8942696,147,338,0.010605313,0.13735351,0.3565272092819214,0.13836816,851.6598439216614,3.92,301056,301056,0.0029401712,1041.51
0.87203825,148,347,0.013121625,0.15668945,0.6874136030673981,0.01624399,857.5578439235687,3.96,303104,303104,0.0023133836,1027.94
0.8740098,149,337,0.008445945,0.10874023,0.6620106101036072,0.05882598,863.6219317913055,4.03,305152,305152,0.0004494639,1005.31
0.9204547,150,316,0.011697104,0.1349121,0.30246174335479736,0.18809572,870.094161272049,4.2,307200,307200,0.0032736897,967.07
0.8223232,151,356,0.015130242,0.18613282,0.9392100088298321,0.00054820994,875.8440215587616,4.2,309248,309248,-0.0029107851,958.91
0.9620389,152,356,0.008167443,0.10195313,0.6059449315071106,0.05766846,881.5911724567413,4.27,311296,311296,0.0014290883,940.02
0.93324786,153,357,0.01294717,0.16552734,0.9045061320066452,0.0020240336,887.3180022239685,4.28,313344,313344,-0.0019271054,929.21
0.90596974,154,355,0.03244581,0.23037109,0.9193163961172104,0.00041571035,893.078234910965,4.28,315392,315392,-0.01652842,929.21
1.0590799,155,351,0.00918314,0.12470703,0.8402272164821625,0.003939342,898.901266336441,4.3,317440,317440,-0.0006370274,921.29
1.0744703,156,367,0.012054007,0.16835937,0.8736481368541718,0.0016637841,904.4797933101654,4.09,319488,319488,-4.3692253e-05,917.58
0.8315009,157,349,0.007734752,0.099121094,0.7861607670783997,0.000738815,910.3357448577881,4.09,321536,321536,-0.0021423616,917.58
0.9444169,158,379,0.012659174,0.14584962,0.6231273412704468,0.0020051717,915.7308943271637,4.09,323584,323584,0.0008988449,910.71
1.0138946,159,358,0.013379373,0.17631836,0.8002658039331436,0.0004917248,921.4380593299866,3.46,325632,325632,-0.0027292625,911.84
1.1895242,160,370,0.01264025,0.18896484,0.6954190135002136,0.00088037475,926.9702031612396,2.73,327680,327680,-0.0021046842,912.22
1.1163126,161,356,0.012967683,0.1762207,0.7994462549686432,0.00082161353,932.7094295024872,2.56,329728,329728,-0.0063209524,914.78
0.8734511,162,371,0.012645039,0.16518554,0.6450400054454803,0.00036858604,938.2266433238983,2.56,331776,331776,-0.0026670345,914.78
0.9567873,163,347,0.008014863,0.11601563,0.174390971660614,0.12530062,944.1276061534882,2.65,333824,333824,-0.0014297903,908.06
0.7846508,164,377,0.00812075,0.095898435,0.8767146617174149,0.0008266495,949.5492238998413,2.65,335872,335872,0.001119787,908.06
0.8091179,165,354,0.010058637,0.13100585,0.7019004821777344,0.00031275142,955.3242304325104,2.53,337920,337920,-0.0041641104,911.21
