eplenmean,policy_entropy,total_timesteps,eprewmean,value_loss,clipfrac,nupdates,serial_timesteps,approxkl,fps,explained_variance,policy_loss,time_elapsed
860.0,0.7072588,187500,467.940212,16.586805,0.005133333,125,187500,0.001020758,335,0.9733249396085739,-0.00053075026,578.8635087013245
736.0,0.42817324,189000,360.660364,22.817984,0.053399973,126,189000,0.004958229,303,0.9577998071908951,-0.0063949768,583.811927318573
1227.0,0.7634925,190500,608.508047,5.9973626,0.018133333,127,190500,0.0023017784,295,0.9910794943571091,-0.001995317,588.8906750679016
843.0,0.5614061,192000,212.634462,20.483343,0.060533307,128,192000,0.0037727111,342,0.9624752029776573,-0.0039217356,593.2732553482056
924.0,0.7069952,193500,431.535194,3.9671175,0.032666657,129,193500,0.003004194,316,0.993953984696418,-0.0020943857,598.0190217494965
672.0,0.72589517,195000,367.885031,20.271397,0.03573333,130,195000,0.0028408333,352,0.9648313000798225,-0.0033919797,602.2703678607941
747.0,0.43257275,196500,371.187234,20.79215,0.017133333,131,196500,0.0018010244,320,0.9648196212947369,-0.0016357587,606.9454922676086
794.0,0.56618905,198000,381.76083,24.59577,0.042266645,132,198000,0.0024683615,321,0.967080295085907,-0.0043539773,611.609790802002
883.0,0.74502563,199500,345.996035,14.958305,0.0117999995,133,199500,0.0017785867,325,0.9766889046877623,-0.0032038195,616.2241525650024
630.0,0.48166907,201000,265.63791,8.806877,0.006,134,201000,0.00091825495,320,0.9846099521964788,-0.0015031598,620.9052891731262
883.0,0.45234194,202500,365.675731,15.100665,0.0047333334,135,202500,0.0008769313,326,0.9729951918125153,-0.0012687435,625.4985704421997
672.0,0.41517103,204000,263.830262,8.381213,0.005133333,136,204000,0.00059038604,321,0.9848046908155084,-0.0013645164,630.1680097579956
757.0,0.30897582,205500,286.846654,3.8833077,0.0067999996,137,205500,0.0006244879,330,0.9915379388257861,-0.0006261045,634.706568479538
845.0,0.53015625,207000,310.796036,3.6939306,0.0018000001,138,207000,0.0006044841,348,0.9929187363013625,-0.0008294431,639.0171113014221
764.0,0.40618256,208500,386.621477,31.901756,0.010999999,139,208500,0.0013143126,295,0.9533735811710358,-0.0016241325,644.0866630077362
814.0,0.34332317,210000,262.571255,30.643312,0.0037333327,140,210000,0.00054838427,329,0.9408478997647762,-0.001123017,648.6332528591156
594.0,0.31322274,211500,327.049155,19.392067,0.0037999991,141,211500,0.00042885347,327,0.9586084149777889,-0.0013089095,653.2080230712891
