fps,eplenmean,value_loss,nupdates,time_elapsed,clipfrac,policy_entropy,policy_loss,total_timesteps,explained_variance,serial_timesteps,eprewmean,approxkl
347,477.19666666666666,0.39925534,1509,7532.182141780853,0.0044433596,0.38412923,-0.00017590469,3090432,0.7258055508136749,386304,9.020045153333333,0.0005740133
492,476.49666666666667,1.8090223,1510,7536.337774991989,0.00390625,0.4125766,-3.540879e-05,3092480,0.5451805591583252,386560,9.069685923333333,0.00032973086
397,476.75666666666666,1.7126276,1511,7541.493480205536,0.0013671875,0.46521324,-2.8322707e-05,3094528,0.6792420446872711,386816,8.862511003333333,0.00016949764
448,477.17,0.11823583,1512,7546.064505338669,0.0340332,0.4691967,-0.00019400523,3096576,0.9042767435312271,387072,8.862035673333333,0.004543804
395,480.38,0.6162214,1513,7551.248120069504,0.022851562,0.51999074,0.00017043654,3098624,0.7501851171255112,387328,8.69168797,0.0017406221
493,478.49,4.329791,1514,7555.402568101883,0.0,0.57302773,1.6211936e-05,3100672,0.368743896484375,387584,8.821915713333333,0.00024896834
409,478.9533333333333,1.16432,1515,7560.409541606903,0.0010742188,0.60217893,-4.106346e-05,3102720,0.6316380500793457,387840,8.91586872,0.0002776128
442,481.26,0.60064036,1516,7565.037729740143,0.0012207031,0.67532074,0.000101844314,3104768,0.769090324640274,388096,8.953088396666665,0.0012545105
462,483.29333333333335,0.21865301,1517,7569.4681351184845,0.027685547,0.66054386,-0.000137015,3106816,0.8931479230523109,388352,8.946175903333334,0.0032730675
479,485.31,0.4712294,1518,7573.744259595871,0.043945312,0.713447,0.00065600185,3108864,0.8049182593822479,388608,9.005502236666667,0.0054741288
404,484.5933333333333,0.48770857,1519,7578.801994800568,0.0021972656,0.7079393,-0.00025164193,3110912,0.8436649143695831,388864,9.039088253333333,0.0010782473
633,487.0133333333333,0.30804458,1520,7582.0344750881195,0.12431641,0.86039317,-0.000442597,3112960,0.8161603361368179,389120,9.078878966666668,0.012235597
509,488.5366666666667,0.26573953,1521,7586.054885864258,0.0014160157,0.71386987,-0.00023218198,3115008,0.8927772417664528,389376,9.079262993333334,0.0011964149
588,491.82,0.31392977,1522,7589.538405418396,0.030371094,0.6838258,-0.000311861,3117056,0.7163945436477661,389632,9.053045456666666,0.0039523304
426,495.46666666666664,0.042538065,1523,7594.340517997742,0.02080078,0.6256386,-0.0007600154,3119104,0.9854790857061744,389888,9.089445973333333,0.0038642783
484,497.98,0.14997356,1524,7598.572185754776,0.007714844,0.6594714,-8.65608e-05,3121152,0.9397261440753937,390144,9.121209133333336,0.0011077332
368,501.5233333333333,0.26213926,1525,7604.129789829254,0.10239258,0.5125152,-0.0011612739,3123200,0.8789318948984146,390400,9.098266333333335,0.01791722
370,502.2866666666667,0.98102415,1526,7609.656871318817,0.0,0.40678167,2.2895038e-05,3125248,0.7206208109855652,390656,9.167136336666665,5.9494592e-05
365,504.37333333333333,0.31663415,1527,7615.265564918518,9.765625e-05,0.3745355,-9.088435e-05,3127296,0.8740583956241608,390912,9.191221903333334,0.00017657217
402,503.4766666666667,0.17837742,1528,7620.357103586197,0.00546875,0.47713953,-0.00011773873,3129344,0.935433030128479,391168,9.175647176666667,0.0008799128
428,502.00333333333333,0.27173835,1529,7625.138915300369,0.00390625,0.40944666,0.00021247714,3131392,0.8288620710372925,391424,9.184857366666666,0.00046252692
378,500.2633333333333,0.31343517,1530,7630.548778295517,0.0034179688,0.31412488,-8.433131e-05,3133440,0.8888388425111771,391680,9.293872316666667,0.0004743961
444,498.76,0.24274714,1531,7635.157748937607,0.0029296875,0.5189234,-0.00050272385,3135488,0.9048812165856361,391936,9.291992136666666,0.0009213632
380,494.91333333333336,0.49422246,1532,7640.53426361084,0.028173828,0.31447223,-0.00016972146,3137536,0.7069231569766998,392192,9.32685503,0.0032402468
440,495.60333333333335,0.83892566,1533,7645.186711549759,0.02080078,0.47994938,0.00025111306,3139584,0.7900165319442749,392448,9.353075586666668,0.0019281327
451,497.23,0.40732583,1534,7649.7256326675415,0.046533205,0.31248075,-0.0005107835,3141632,0.7750563323497772,392704,9.288514623333334,0.008168251
423,497.64666666666665,0.14866045,1535,7654.560555934906,0.019824218,0.40485096,0.00019485624,3143680,0.9222482740879059,392960,9.022748179999999,0.0019226875
375,497.16,1.0771905,1536,7660.02206659317,0.008056641,0.3049383,-8.642033e-06,3145728,0.582744300365448,393216,8.92218476,0.001875402
429,495.31,0.32943445,1537,7664.7912673950195,0.047265626,0.29080185,0.0009517564,3147776,0.8672703802585602,393472,8.979427470000001,0.0073231147
340,495.65,1.4467266,1538,7670.800350904465,0.071875,0.28376454,2.8246188e-05,3149824,0.7170130908489227,393728,9.056695696666665,0.011836478
394,494.06333333333333,0.04842055,1539,7675.987577915192,0.024658203,0.39795774,0.00039075603,3151872,0.9744727052748203,393984,9.112249536666667,0.0029704901
372,491.53,0.478023,1540,7681.484725236893,0.039355468,0.36312446,0.0005479436,3153920,0.7572659105062485,394240,9.014124653333333,0.0036006183
503,493.34,0.17761333,1541,7685.5498015880585,0.0041503906,0.3407968,-0.00010875787,3155968,0.8981954008340836,394496,9.034393020000001,0.0005668389
351,486.52666666666664,0.40060192,1542,7691.372960090637,0.0046875,0.40249962,0.00016749797,3158016,0.8351648449897766,394752,8.855260046666666,0.0005996939
408,477.07666666666665,0.16217875,1543,7696.392147779465,0.006787109,0.23889527,0.0001280768,3160064,0.936633825302124,395008,8.968559793333334,0.0008281514
482,477.58,0.023682509,1544,7700.634788990021,0.03676758,0.5246626,-0.0011769473,3162112,0.9787407424300909,395264,8.95919777,0.0047068587
367,469.8333333333333,0.14177544,1545,7706.208097457886,0.0020507812,0.17915949,-0.00020178143,3164160,0.949652511626482,395520,8.97949933,0.0005168704
438,471.25,0.18161552,1546,7710.876391649246,0.01040039,0.23753229,0.00024385848,3166208,0.8665730506181717,395776,8.790574646666668,0.00094686885
313,465.04,0.41713056,1547,7717.413301706314,0.016503906,0.27792042,-1.7161845e-05,3168256,0.8963818103075027,396032,8.775820326666667,0.0010041952
364,465.1533333333333,0.49744397,1548,7723.039872407913,0.008886719,0.28558677,0.00024776915,3170304,0.8006114959716797,396288,8.695193273333334,0.0008865943
462,463.03,0.21413526,1549,7727.47096824646,0.030029297,0.4285462,-0.0002555317,3172352,0.8511499166488647,396544,8.758216773333334,0.0023028061
312,464.27666666666664,0.59776986,1550,7734.01570725441,0.0044433596,0.23444667,-0.00038394198,3174400,0.8529907613992691,396800,8.726340166666665,0.00031872062
412,462.24,0.3927186,1551,7738.9819548130035,0.004345703,0.22829199,3.306203e-05,3176448,0.8329226523637772,397056,8.636297666666666,0.00042011365
317,461.7266666666667,3.5212197,1552,7745.426273107529,0.0024902343,0.3856495,4.443263e-05,3178496,0.5707944929599762,397312,8.386583326666665,0.00031706475
436,461.95666666666665,6.021257,1553,7750.117203235626,0.03515625,0.22803612,-1.8691091e-05,3180544,0.43614208698272705,397568,8.485993456666666,0.005498264
309,459.91,1.8173058,1554,7756.738091468811,0.011132812,0.30319497,-0.00015502599,3182592,0.6046347618103027,397824,8.749243146666666,0.0011013165
375,454.63,0.2983456,1555,7762.195826292038,0.00024414062,0.5977269,5.581483e-06,3184640,0.9139050245285034,398080,8.837584066666667,0.00022130637
502,453.2133333333333,0.21771201,1556,7766.274610280991,0.0440918,0.7700965,-0.0006651728,3186688,0.829641118645668,398336,8.818593036666668,0.0075259632
507,453.12333333333333,0.18442135,1557,7770.313282966614,0.022998046,0.29938465,-0.00030240853,3188736,0.9029708653688431,398592,8.80375511,0.0023450223
321,453.99,1.4919193,1558,7776.67924284935,0.0076660155,0.48691908,-3.3184468e-05,3190784,0.6826551258563995,398848,8.85249013,0.0019370874
396,447.1166666666667,0.18272081,1559,7781.850383758545,0.0,0.611706,-0.000110616515,3192832,0.9308264851570129,399104,8.83739243,0.00052327616
