fps,eprewmean,total_timesteps,serial_timesteps,policy_loss,approxkl,explained_variance,value_loss,clipfrac,eplenmean,policy_entropy,time_elapsed,nupdates
715,277.48333333333335,1507328,188416,-0.0026835308,0.004008689,0.6576633155345917,11.490751,0.030163575,1495.2033333333334,1.5585663,2144.0216913223267,92
686,284.9866666666667,1523712,190464,-0.0014499195,0.00339451,0.6647399365901947,27.307068,0.015270996,1498.98,1.5619879,2167.8940858840942,93
673,275.42333333333335,1540096,192512,-0.001529557,0.0042965426,0.5828750431537628,16.483868,0.025280762,1500.0,1.5611098,2192.2257175445557,94
687,273.29,1556480,194560,-0.0011199069,0.00359859,0.6563851535320282,15.861262,0.02029419,1500.0,1.5503168,2216.0687124729156,95
624,264.25,1572864,196608,-0.00027839257,0.003602113,0.6583346128463745,10.045965,0.011212158,1493.2433333333333,1.5563543,2242.3193719387054,96
727,281.85,1589248,198656,-0.0015091349,0.004051769,0.676654726266861,33.71319,0.015539551,1493.2433333333333,1.5621573,2264.8269810676575,97
703,277.1666666666667,1605632,200704,-0.0030689023,0.006516951,0.7453265190124512,0.34418648,0.062677,1493.2433333333333,1.5644784,2288.1113460063934,98
681,250.72666666666666,1622016,202752,-0.0013883335,0.006982141,0.9009695574641228,0.06060127,0.06408081,1493.2433333333333,1.5744985,2312.1441733837128,99
693,254.88333333333333,1638400,204800,-0.00037535882,0.0012122488,0.757366806268692,4.682444,0.0013183594,1493.2433333333333,1.5775701,2335.7658355236053,100
687,259.66,1654784,206848,-0.00043174112,0.00084131013,0.6602842509746552,12.003054,0.0041503906,1493.2433333333333,1.573318,2359.61199760437,101
667,270.33666666666664,1671168,208896,-0.0001899156,0.00034331315,0.6566958725452423,23.94997,0.00021362305,1493.2433333333333,1.5701448,2384.1497950553894,102
707,244.20333333333335,1687552,210944,-0.0010699373,0.0024776766,0.8026395887136459,3.036515,0.011102295,1493.2433333333333,1.5688635,2407.317390680313,103
666,238.1,1703936,212992,-0.0007832927,0.0012949702,0.6106033623218536,32.786087,0.0032287599,1493.2433333333333,1.5624373,2431.889115333557,104
690,242.97333333333333,1720320,215040,-0.0017782977,0.0059106993,0.7257074117660522,4.494191,0.038488768,1493.2433333333333,1.5593024,2455.6019365787506,105
669,247.50666666666666,1736704,217088,-0.0016024404,0.005404875,0.6460104584693909,13.247078,0.036553957,1493.2433333333333,1.5571009,2480.0888590812683,106
703,243.04666666666665,1753088,219136,-0.0015981433,0.0057755997,0.6889511346817017,15.811312,0.06651001,1493.2433333333333,1.5514973,2503.3899443149567,107
743,238.21,1769472,221184,-0.00130637,0.0027213076,0.7843371033668518,4.6259522,0.018572997,1493.2433333333333,1.5492905,2525.4122416973114,108
686,229.76,1785856,223232,-0.00059062114,0.0021453318,0.6565179228782654,20.257236,0.0060424805,1493.2433333333333,1.5545835,2549.273493528366,109
683,231.31666666666666,1802240,225280,-0.000676524,0.0018303262,0.6001498401165009,21.221035,0.005895996,1493.2433333333333,1.5480348,2573.2520368099213,110
704,233.35333333333332,1818624,227328,-0.0012636501,0.0026260735,0.5741234123706818,28.695358,0.012084961,1493.2433333333333,1.5533257,2596.5152819156647,111
674,258.93333333333334,1835008,229376,-0.00088195474,0.0018891221,0.6704758405685425,27.552053,0.0062744142,1493.2433333333333,1.5556226,2620.794618844986,112
696,274.47,1851392,231424,-0.001038429,0.0018710801,0.6912837028503418,22.222343,0.0050354004,1493.2433333333333,1.5318645,2644.3141808509827,113
714,295.39,1867776,233472,-0.0016033126,0.0045421496,0.7055685520172119,36.43249,0.03539429,1493.2433333333333,1.5143571,2667.2331075668335,114
679,292.7,1884160,235520,-0.00037620432,0.0047188434,0.7616004198789597,15.756053,0.041522216,1493.2433333333333,1.514114,2691.351219177246,115
718,280.67333333333335,1900544,237568,-0.00046882118,0.012237373,0.911779910326004,1.251992,0.08041992,1493.2433333333333,1.5161872,2714.1522336006165,116
700,274.70666666666665,1916928,239616,-0.002227783,0.008310253,0.8015052378177643,14.965291,0.049230956,1493.2433333333333,1.5319755,2737.5528995990753,117
638,270.42,1933312,241664,-0.0049563274,0.009171998,0.8535652607679367,0.0065393075,0.110845946,1493.2433333333333,1.5419064,2763.2136418819427,118
679,280.81666666666666,1949696,243712,-0.00010544875,0.0014765069,0.7268010377883911,20.46158,0.00812378,1493.2433333333333,1.5340455,2787.323359489441,119
690,281.53333333333336,1966080,245760,-0.00034392852,0.00076927745,0.6999318599700928,25.536694,0.002001953,1493.2433333333333,1.5356829,2811.065417766571,120
685,293.4,1982464,247808,-0.0009596837,0.0009642119,0.7521692663431168,23.966705,0.002520752,1493.2433333333333,1.5297203,2834.9604184627533,121
697,307.02666666666664,1998848,249856,-0.0016523609,0.0019162309,0.723514974117279,30.515396,0.004046631,1493.2433333333333,1.5398036,2858.4480316638947,122
625,308.66,2015232,251904,-0.000721173,0.0017261782,0.7699860781431198,17.217878,0.0067626955,1500.0,1.5460204,2884.6583890914917,123
568,315.53,2031616,253952,-0.00021653839,0.0006713738,0.7531733363866806,16.663448,0.0014526367,1500.0,1.5399786,2913.4724073410034,124
670,321.74333333333334,2048000,256000,-0.0012192918,0.0019292133,0.7511278390884399,27.633804,0.0021240234,1500.0,1.5328887,2937.902808189392,125
677,341.6533333333333,2064384,258048,-0.00083836436,0.001514883,0.7797928750514984,24.042538,0.003985596,1500.0,1.5303943,2962.0699508190155,126
712,345.5733333333333,2080768,260096,-0.00036711132,0.0021700386,0.8441772162914276,8.317963,0.006939697,1500.0,1.5442101,2985.067765235901,127
695,361.38666666666666,2097152,262144,-0.0012027093,0.0029019217,0.816398486495018,20.652554,0.016046142,1500.0,1.5517546,3008.6092302799225,128
654,346.4166666666667,2113536,264192,-0.0033708923,0.0077572092,0.3375019431114197,0.013443252,0.08759765,1500.0,1.544915,3033.633548259735,129
706,336.52,2129920,266240,-0.000615619,0.001561566,0.8659218847751617,6.7911634,0.0025085448,1500.0,1.5505795,3056.8143084049225,130
673,348.0733333333333,2146304,268288,0.00019679742,0.0009803304,0.8313506990671158,21.90803,0.004309082,1500.0,1.558761,3081.1525042057037,131
681,340.87666666666667,2162688,270336,-0.0005967335,0.0013527632,0.8045003116130829,14.372348,0.0046081543,1500.0,1.5294472,3105.1861078739166,132
716,364.96666666666664,2179072,272384,-0.0012327831,0.0021686708,0.675123780965805,45.385956,0.010540771,1500.0,1.5419567,3128.063092470169,133
683,378.01666666666665,2195456,274432,-0.00034023338,0.0007286177,0.7852333635091782,38.256252,0.0030151368,1500.0,1.5341952,3152.0255093574524,134
695,401.3233333333333,2211840,276480,-0.0005083616,0.002313376,0.8163753151893616,35.80178,0.012158203,1500.0,1.5405906,3175.570194721222,135
704,404.1433333333333,2228224,278528,-0.0005296383,0.008259373,0.8502520471811295,1.4500664,0.103442386,1500.0,1.5722764,3198.8390035629272,136
642,394.92333333333335,2244608,280576,-0.00051555026,0.0039898437,0.8466622680425644,14.701933,0.034417726,1500.0,1.524369,3224.3409264087677,137
704,403.5,2260992,282624,-0.00049074844,0.00067369087,0.783412978053093,34.277306,0.0025756836,1500.0,1.514514,3247.613559961319,138
