fps,policy_loss,explained_variance,clipfrac,time_elapsed,approxkl,total_timesteps,policy_entropy,serial_timesteps,value_loss,eplenmean,nupdates,eprewmean
752,-0.00022976792,0.7854393124580383,0.007434082,2867.5351407527924,0.002423043,2211840,1.4465942,276480,21.82289,1500.0,135,451.83666666666664
796,-0.0008589675,0.87066850066185,0.0047180178,2888.1037232875824,0.0010012586,2228224,1.469552,278528,5.1019936,1500.0,136,437.7133333333333
744,-0.0008495123,0.7483384311199188,0.00824585,2910.1105053424835,0.0016247149,2244608,1.4731023,280576,32.53182,1500.0,137,459.59
785,-0.0011179682,0.8024043291807175,0.007788086,2930.960545539856,0.0020219858,2260992,1.4567572,282624,19.319912,1500.0,138,463.26
815,-0.0027755876,0.7393472790718079,0.015185547,2951.0609493255615,0.005499798,2277376,1.4949312,284672,34.109207,1500.0,139,465.6533333333333
752,-0.00020481672,0.8502689003944397,0.02322998,2972.836499452591,0.0032775472,2293760,1.5201651,286720,9.477658,1500.0,140,463.4766666666667
791,-5.8231974e-05,0.7856092751026154,0.041265868,2993.5296087265015,0.0045814943,2310144,1.5167234,288768,1.6419983,1500.0,141,452.18
811,-0.0010630211,0.7368632555007935,0.002911377,3013.73096203804,0.0025253252,2326528,1.5261596,290816,38.56087,1500.0,142,448.5
729,-0.0015756057,0.8100443184375763,0.040533446,3036.191118001938,0.00444665,2342912,1.526269,292864,37.802376,1500.0,143,453.78
776,-0.0009928992,0.841832771897316,0.05105591,3057.295986890793,0.0054533617,2359296,1.5038037,294912,3.9160933,1500.0,144,434.75
779,-0.00033152135,0.8483860492706299,0.011724854,3078.306357860565,0.0025467349,2375680,1.5261438,296960,9.004884,1500.0,145,432.06
765,-0.0010132873,0.9582179561257362,0.04232178,3099.7095682621,0.00545074,2392064,1.491338,299008,0.09328781,1500.0,146,395.99
783,-0.0020326786,0.7500137388706207,0.02218628,3120.6123418807983,0.004251022,2408448,1.465052,301056,21.940142,1500.0,147,398.20666666666665
758,0.0008059402,0.8299635648727417,0.051898193,3142.2094180583954,0.005357538,2424832,1.5391747,303104,17.418598,1500.0,148,406.41333333333336
791,-0.0040288786,-1.3498873710632324,0.09133301,3162.9074540138245,0.0078094676,2441216,1.5354142,305152,0.0007956015,1500.0,149,396.00333333333333
792,-0.00075976655,0.7882000207901001,0.02734375,3183.5695095062256,0.004028053,2457600,1.4544326,307200,14.0011425,1500.0,150,396.00333333333333
752,-0.0011612892,0.8632622510194778,0.007232666,3205.3516838550568,0.0017491339,2473984,1.516691,309248,6.46942,1500.0,151,385.6433333333333
822,-0.0023006594,-0.07911384105682373,0.06691895,3225.2793567180634,0.006869444,2490368,1.5357063,311296,0.00011386331,1500.0,152,370.00333333333333
786,-0.00088582345,0.8410724401473999,0.015759278,3246.0997931957245,0.0025624945,2506752,1.4904133,313344,20.839535,1500.0,153,353.18666666666667
710,-0.0007057112,0.8179362565279007,0.0042236326,3269.1556012630463,0.0013391556,2523136,1.4779451,315392,29.481104,1500.0,154,351.96666666666664
751,-0.0010097546,0.8305380195379257,0.008764649,3290.9488055706024,0.001811188,2539520,1.4613991,317440,25.45353,1500.0,155,355.1066666666667
767,-0.001194154,0.8662373721599579,0.016333008,3312.2953312397003,0.0023746998,2555904,1.5493377,319488,10.551409,1500.0,156,354.77
719,-0.0031539067,-0.4518519639968872,0.07494507,3335.076514482498,0.006443306,2572288,1.5602001,321536,0.0013550336,1500.0,157,323.08666666666664
751,-0.0032955776,-0.24589359760284424,0.09991455,3356.888966321945,0.007512226,2588672,1.5693824,323584,0.0014029905,1500.0,158,306.54333333333335
721,-0.0013300402,0.8311551362276077,0.013537598,3379.596967458725,0.004084793,2605056,1.5495675,325632,7.921069,1500.0,159,292.34
805,-0.0005445696,0.8330546319484711,0.00035400392,3399.9458096027374,0.00046225707,2621440,1.5144248,327680,10.204493,1500.0,160,290.6433333333333
825,-0.0006554165,0.8294848650693893,0.005279541,3419.7993655204773,0.00078597816,2637824,1.5195744,329728,17.330687,1500.0,161,302.88
733,-0.0015852482,0.8755110800266266,0.011529541,3442.1429579257965,0.0028457963,2654208,1.5641694,331776,6.7338524,1500.0,162,303.34
674,-0.0024753262,0.5126401484012604,0.05281372,3466.432054758072,0.0054717544,2670592,1.5510497,333824,0.0004924365,1497.0533333333333,163,295.6066666666667
698,-0.0021163062,0.8979037553071976,0.006439209,3489.8773658275604,0.0021983837,2686976,1.5257872,335872,4.0940523,1497.0533333333333,164,287.06333333333333
689,-0.00085969514,0.811512902379036,0.0036010742,3513.6534235477448,0.00056173047,2703360,1.5032082,337920,9.78734,1497.0533333333333,165,271.50666666666666
711,-0.0016114988,0.8586376756429672,0.0012939454,3536.677671432495,0.0014224176,2719744,1.4988586,339968,7.188292,1497.0533333333333,166,263.95
630,-0.000530543,0.8828370273113251,0.00079956057,3562.662281036377,0.00049624627,2736128,1.4572461,342016,13.213811,1497.0533333333333,167,249.75666666666666
727,-0.0007509238,0.9229282215237617,0.0040161135,3585.1875767707825,0.0009796752,2752512,1.4687573,344064,4.1959023,1497.0533333333333,168,255.60333333333332
638,-0.0019487403,0.11931049823760986,0.046881102,3610.858760356903,0.0055264705,2768896,1.5427938,346112,0.00093291,1497.0533333333333,169,246.0
657,-0.004284223,0.7714182585477829,0.07012329,3635.784260749817,0.0069666295,2785280,1.5513837,348160,0.0049949023,1497.0533333333333,170,210.42333333333335
763,-0.00037606462,0.9014397785067558,0.0018798828,3657.2557027339935,0.0012312976,2801664,1.5293258,350208,6.4944825,1497.0533333333333,171,206.78666666666666
720,-0.0017125064,-0.3445979356765747,0.060333252,3680.004907131195,0.0061018122,2818048,1.5662559,352256,0.0009457631,1497.0533333333333,172,199.82666666666665
640,-0.0032998684,0.19155561923980713,0.069329835,3705.567085504532,0.0061010383,2834432,1.5501472,354304,0.00046448543,1497.0533333333333,173,195.39666666666668
760,-0.0008096193,0.9414516277611256,0.005181885,3727.115738391876,0.0027371873,2850816,1.5089904,356352,0.6320188,1497.0533333333333,174,189.57666666666665
718,-0.0014072692,0.9296019598841667,0.0019836426,3749.931689977646,0.0013516484,2867200,1.4962735,358400,2.9915206,1497.0533333333333,175,172.55333333333334
689,-0.0027053384,-0.36709320545196533,0.059576415,3773.684798002243,0.007012766,2883584,1.5417172,360448,0.0002305733,1497.0533333333333,176,167.84666666666666
738,-0.0016848476,0.8591012209653854,0.021673584,3795.8814487457275,0.0032433204,2899968,1.4668984,362496,1.9481983,1497.0533333333333,177,167.84666666666666
660,-0.00068599766,0.8717271387577057,0.0015930176,3820.6770627498627,0.00079156103,2916352,1.4510907,364544,7.4909286,1497.0533333333333,178,161.36
739,-0.0041742157,0.9157857522368431,0.077337645,3842.827013015747,0.007504058,2932736,1.4920574,366592,0.025057903,1497.0533333333333,179,161.36
752,-0.00020477867,0.8720250427722931,0.0015014649,3864.5894742012024,0.0016690714,2949120,1.3790501,368640,2.7118015,1497.0533333333333,180,163.43666666666667
684,-0.0019143375,0.89827561378479,0.035479736,3888.5105135440826,0.003994732,2965504,1.4963181,370688,0.512058,1497.0533333333333,181,135.01333333333332
768,-0.00135043,0.8825714290142059,0.009893799,3909.819983482361,0.0017658727,2981888,1.4113781,372736,4.640872,1497.0533333333333,182,121.14
739,-0.0015037087,0.9253515005111694,0.04697876,3931.9863612651825,0.004160981,2998272,1.5238004,374784,0.68915,1497.0533333333333,183,106.76333333333334
653,-0.0018918558,0.6549546420574188,0.075323485,3957.0613465309143,0.007217042,3014656,1.5507184,376832,0.00026513534,1497.0533333333333,184,102.14333333333333
756,-0.003969696,0.5236956179141998,0.07000122,3978.7293770313263,0.0069886795,3031040,1.5475067,378880,8.862988e-05,1497.0533333333333,185,102.14333333333333
692,-0.0042749834,0.06822812557220459,0.05142822,4002.383600473404,0.006339765,3047424,1.5266712,380928,0.0012681206,1497.0533333333333,186,102.14333333333333
709,-0.0015675271,0.9051147848367691,0.011816407,4025.489180326462,0.0021977532,3063808,1.4590957,382976,4.110879,1497.0533333333333,187,95.07333333333334
