eprewmean,eplenmean,explained_variance,policy_entropy,value_loss,policy_loss,time_elapsed,fps,serial_timesteps,nupdates,approxkl,total_timesteps,clipfrac
29.306349993055555,1501.0,0.0004640817642211914,1.5818233,8.47074,-0.00041936815,853.805038690567,475,54272,106,0.00021394507,434176,0.0
29.306349993055555,1501.0,0.03108447790145874,1.5781204,6.143531e-05,-0.00088853814,861.4175779819489,538,54784,107,0.00028166763,438272,0.0
29.306349993055555,1501.0,-1.5849478244781494,1.5754284,4.9441293e-05,0.00012994555,868.8662235736847,549,55296,108,1.6949358e-05,442368,0.0
28.51428647972973,1501.0,-0.20487117767333984,1.5727682,0.0002919658,3.2262036e-05,877.5729875564575,470,55808,109,3.7783986e-05,446464,0.0
28.51428647972973,1501.0,-0.0970768928527832,1.5701046,0.00014019565,-2.7824435e-05,884.5539865493774,586,56320,110,4.376702e-05,450560,0.0
28.51428647972973,1501.0,0.15003883838653564,1.56777,4.8597252e-05,-0.00028750676,891.7136251926422,572,56832,111,0.00012865943,454656,0.0
28.134095993333332,1501.0,0.42122024297714233,1.570598,7.5185664e-05,-0.00072870636,900.169350862503,484,57344,112,0.00022102252,458752,0.0
28.134095993333332,1501.0,0.10211628675460815,1.5694437,1.9958728e-05,-0.00051693525,907.3593406677246,569,57856,113,0.0002432487,462848,0.0
28.134095993333332,1501.0,0.08986914157867432,1.5605692,1.6937336e-05,-0.0005298599,914.4310195446014,579,58368,114,0.00024373228,466944,0.0
28.127429326666668,1501.0,0.45865386724472046,1.5652598,4.589748e-05,-0.00078296725,922.8727653026581,485,58880,115,0.00022173574,471040,0.0
28.127429326666668,1501.0,0.38193947076797485,1.5667447,2.5173758e-05,-0.00021649494,936.055971622467,310,59392,116,7.985728e-05,475136,0.0
28.127429326666668,1501.0,-0.12414467334747314,1.5658227,3.2669293e-05,2.4509398e-05,943.3967053890228,558,59904,117,4.754506e-05,479232,0.0
28.794095993333332,1501.0,0.0034624338150024414,1.5532198,6.0985985,-0.00024903475,952.2149941921234,464,60416,118,0.00016476838,483328,0.0
28.794095993333332,1501.0,-0.19319534301757812,1.543584,2.6301881e-05,-0.0006716747,958.9875376224518,604,60928,119,0.00021088727,487424,0.0
28.794095993333332,1501.0,0.7018190026283264,1.5401217,4.0655756e-05,-0.000103376544,966.2153964042664,566,61440,120,6.279292e-05,491520,0.0
28.794095993333332,1501.0,0.5836687982082367,1.5465697,0.00015854537,-0.0002659867,975.218909740448,454,61952,121,8.180073e-05,495616,0.0
28.794095993333332,1501.0,-0.610908031463623,1.5420424,6.5154345e-05,-8.832261e-05,982.4680023193359,565,62464,122,5.319479e-05,499712,0.0
28.794095993333332,1501.0,-0.5521833896636963,1.5443207,3.844409e-05,-0.0008319086,989.5302097797394,580,62976,123,0.00029595458,503808,0.0
28.794095993333332,1501.0,-0.2721531391143799,1.5462127,0.00016323834,-0.0002081615,998.1423616409302,475,63488,124,8.9844565e-05,507904,0.0
28.794095993333332,1501.0,-1.3737125396728516,1.5386738,2.2351045e-05,-0.00053491147,1005.776846408844,536,64000,125,0.00017823077,512000,0.0
28.794095993333332,1501.0,-1.9332633018493652,1.5349392,2.2607152e-05,-1.5490301e-05,1012.9793965816498,568,64512,126,4.9067497e-05,516096,0.0
28.794095993333332,1501.0,-0.2145627737045288,1.533257,5.7184214e-05,-0.00016617042,1021.5422718524933,478,65024,127,0.00010253888,520192,0.0
28.794095993333332,1501.0,0.0415802001953125,1.5373491,1.5853657e-05,-1.9406336e-06,1028.8469171524048,560,65536,128,8.130295e-05,524288,0.0
28.794095993333332,1501.0,0.506304144859314,1.5449033,4.9593265e-05,-0.00036626926,1037.376481294632,480,66048,129,0.0001721646,528384,0.0
28.794095993333332,1501.0,-0.4906299114227295,1.5514917,1.5544181e-05,-8.3691055e-05,1051.616373538971,287,66560,130,4.9602535e-05,532480,0.0
28.794095993333332,1501.0,0.3330785036087036,1.5552977,6.1482247e-06,-0.000113079346,1058.8408014774323,567,67072,131,5.0811013e-05,536576,0.0
28.624533873333338,1501.0,0.001019299030303955,1.5630513,0.5290607,-0.0005536248,1067.0210909843445,500,67584,132,0.00023195613,540672,0.0
28.624533873333338,1501.0,-0.00018024444580078125,1.5652443,13.699401,-0.00028535008,1074.578996181488,541,68096,133,0.00010364522,544768,0.0
28.624533873333338,1501.0,-0.001489877700805664,1.5672036,44.057816,-3.8976566e-05,1082.0549945831299,547,68608,134,4.346624e-05,548864,0.0
46.124533873333334,1501.0,0.0030845999717712402,1.57223,72.22192,-0.00036173998,1090.8194515705109,467,69120,135,0.00014522314,552960,0.0
46.124533873333334,1501.0,-0.3350604772567749,1.5795355,0.0004637208,-0.00059616147,1098.5400667190552,530,69632,136,0.00015579179,557056,0.0
46.124533873333334,1501.0,0.06147092580795288,1.5779533,0.0002301034,-1.8516075e-05,1105.7636637687683,567,70144,137,4.6159243e-05,561152,0.0
36.09786720666667,1501.0,0.6575091183185577,1.5760013,0.00044912615,4.709966e-05,1114.6338572502136,461,70656,138,2.238868e-05,565248,0.0
36.09786720666667,1501.0,-0.5020145177841187,1.57721,8.917727e-05,-0.00060274784,1121.4750316143036,598,71168,139,0.00019202741,569344,0.0
36.09786720666667,1501.0,-0.2572493553161621,1.5774263,8.3092535e-05,-0.00015503938,1128.6566636562347,570,71680,140,9.485026e-05,573440,0.0
25.114533873333333,1501.0,0.08802217245101929,1.5761172,0.0005302146,0.00011024091,1137.3698332309723,470,72192,141,1.9492454e-05,577536,0.0
25.114533873333333,1501.0,-0.040639519691467285,1.5784292,6.202442e-05,-8.883137e-05,1151.2896797657013,294,72704,142,4.1005387e-05,581632,0.0
25.114533873333333,1501.0,-1.6397032737731934,1.5789629,8.963128e-05,7.9168596e-05,1158.5638790130615,563,73216,143,9.301834e-06,585728,0.0
25.21120054,1501.0,0.02576655149459839,1.5822738,0.21297312,-8.969331e-05,1167.7565791606903,445,73728,144,5.7428857e-05,589824,0.0
25.21120054,1501.0,-0.888312578201294,1.5862237,0.00015589963,-0.00055749906,1175.1017231941223,557,74240,145,0.00016654807,593920,0.0
25.21120054,1501.0,0.023581981658935547,1.5883733,4.5198598e-05,-0.0008625435,1181.8942425251007,603,74752,146,0.00029641902,598016,0.0
24.90120054,1501.0,0.18647724390029907,1.5896758,0.00045436565,-0.00026347136,1190.8954401016235,455,75264,147,0.00010863587,602112,0.0
24.90120054,1501.0,0.4140546917915344,1.590003,0.00029809063,-0.000111209105,1197.6833877563477,603,75776,148,6.353626e-05,606208,0.0
24.90120054,1501.0,0.44742822647094727,1.5895466,0.00012307394,-0.00043042947,1204.848108291626,571,76288,149,0.00015312365,610304,0.0
24.840424773333332,1501.0,0.619884192943573,1.5898281,0.00019146859,-5.8789297e-05,1214.0542101860046,444,76800,150,3.9005772e-05,614400,0.0
24.840424773333332,1501.0,0.17015814781188965,1.5928302,3.2617692e-05,-6.4307154e-05,1221.55370926857,546,77312,151,4.9020677e-05,618496,0.0
24.840424773333332,1501.0,0.0023085474967956543,1.5934792,4.2942,-0.00010448551,1228.952838897705,553,77824,152,4.661505e-05,622592,0.0
26.990437879999998,1501.0,0.017184793949127197,1.5934647,4.9122376,-0.00013796224,1240.4170925617218,357,78336,153,6.9120564e-05,626688,0.0
26.990437879999998,1501.0,0.09461891651153564,1.5940303,0.00045253776,-0.00024358738,1251.8410756587982,358,78848,154,0.0001179162,630784,0.0
26.990437879999998,1501.0,0.26773738861083984,1.592337,0.00023441495,-0.00034458097,1258.8451149463654,584,79360,155,0.00017191272,634880,0.0
26.89043788,1501.0,0.14201730489730835,1.593048,0.00067976647,-7.1588605e-05,1267.27197432518,486,79872,156,2.9417948e-05,638976,0.0
26.89043788,1501.0,0.020888447761535645,1.595291,0.00019329741,-0.000228266,1274.492390871048,567,80384,157,8.4473104e-05,643072,0.0
