approxkl,fps,serial_timesteps,eprewmean,value_loss,total_timesteps,policy_loss,eplenmean,clipfrac,time_elapsed,policy_entropy,nupdates,explained_variance
0.005889422,368,150000,0.0,0.39991325,150000,-0.00657461,1500.0,0.059266634,389.03069710731506,0.7344701,100,0.4503178596496582
0.008666617,339,151500,0.0,0.57579535,151500,-0.0034519497,1500.0,0.1002,393.45023488998413,0.7158563,101,0.29064857959747314
0.00541264,385,153000,0.0,0.18245383,153000,-0.0043752324,1500.0,0.06246664,397.3437571525574,0.7393286,102,0.39304739236831665
0.011962994,366,154500,0.0,0.07305619,154500,-0.010529437,1500.0,0.117333315,401.4360477924347,0.76590407,103,0.1496550440788269
0.012151389,356,156000,0.0,0.0872893,156000,-0.010576649,1500.0,0.21193339,405.6474754810333,0.8737499,104,0.5373674631118774
0.0115592,359,157500,0.0,0.11201462,157500,-0.010214325,1500.0,0.17260002,409.8231108188629,0.84410906,105,0.5592739880084991
0.008738839,369,159000,0.0,0.1287718,159000,-0.007160167,1500.0,0.09346665,413.8875710964203,0.8883745,106,0.74214106798172
0.018032731,362,160500,0.0,0.09743421,160500,-0.010829863,1500.0,0.13473335,418.022837638855,0.8337942,107,0.7187841236591339
0.012975509,349,162000,0.0,0.062294528,162000,-0.015143024,1500.0,0.22293338,422.32055401802063,0.9476763,108,0.7257529199123383
0.012662378,394,163500,0.0,0.108499914,163500,-0.011382619,1500.0,0.20960009,426.12774109840393,0.91642874,109,0.5896725952625275
0.00460987,390,165000,0.0,0.20222451,165000,-0.0019834726,1500.0,0.05473331,429.97157979011536,0.8859321,110,0.6663371622562408
0.011793802,349,166500,0.0,0.059049673,166500,-0.009936116,1500.0,0.17799999,434.2686297893524,0.8606659,111,0.7272765934467316
0.011041966,371,168000,0.0,0.06586257,168000,-0.008257916,1500.0,0.11833331,438.3060827255249,0.76336455,112,0.730108767747879
0.011770004,379,169500,0.0,0.080455646,169500,-0.004942258,1500.0,0.17960005,442.2540502548218,0.8955334,113,0.8446326851844788
0.010483649,367,171000,0.0,0.04855831,171000,-0.008706016,1500.0,0.15580001,446.33475518226624,0.95087516,114,0.843266561627388
0.010562565,374,172500,0.0,0.09249136,172500,-0.008657258,1500.0,0.14826664,450.3415484428406,1.0406033,115,0.4151081442832947
0.009734767,368,174000,0.0,0.08182685,174000,-0.007376005,1500.0,0.090999976,454.4081435203552,0.74240947,116,0.23384493589401245
0.006883575,369,175500,0.0,0.11506295,175500,-0.004793008,1500.0,0.08686664,458.4693503379822,0.82666636,117,0.7529668807983398
0.0059688566,362,177000,0.0,0.04930455,177000,-0.0017637679,1500.0,0.06406663,462.6048355102539,1.0351449,118,0.7510715276002884
0.0056877793,376,178500,0.015132,0.06919343,178500,-0.011472391,1500.0,0.07553328,466.58444142341614,0.69909215,119,0.3696647882461548
0.010077485,372,180000,0.0,0.046861544,180000,-0.009235594,1500.0,0.116066635,470.606498003006,0.6813562,120,0.680014967918396
0.004959578,369,181500,0.0,0.107777975,181500,-0.0012831847,1500.0,0.058266625,474.66393303871155,0.75642776,121,0.6864023208618164
0.01627293,372,183000,0.0,0.135502,183000,-0.008523928,1500.0,0.1804667,478.69070649147034,0.8670009,122,0.42697691917419434
0.006402876,373,184500,0.0,0.058204703,184500,-0.007878015,1500.0,0.0811333,482.70469903945923,0.654438,123,0.7017730474472046
0.008274725,389,186000,0.0,0.1422943,186000,-0.0067165555,1500.0,0.11913332,486.55154299736023,0.8372034,124,0.4406028985977173
0.008078849,351,187500,0.091297,0.10592014,187500,-0.004940555,1500.0,0.094733305,490.8244962692261,0.51640093,125,0.7393827438354492
0.008700781,362,189000,0.0,0.174412,189000,-0.006971432,1500.0,0.12259999,494.96726751327515,0.81373703,126,0.29429614543914795
0.013330965,345,190500,0.0,0.0682964,190500,-0.0056200535,1500.0,0.22246656,499.3110764026642,0.8160359,127,0.6022549569606781
0.00990988,378,192000,0.0,0.047740772,192000,-0.0081143705,1500.0,0.11800002,503.2800192832947,0.8788885,128,0.5155474543571472
0.010262025,354,193500,0.449496,0.19815883,193500,-0.0042634867,1500.0,0.124800004,507.5084795951843,0.5319912,129,0.7014234662055969
0.01063943,383,195000,0.0,0.19327687,195000,-0.004411228,1500.0,0.12333331,511.42511200904846,0.5656791,130,0.6492668986320496
0.0066151563,385,196500,0.0,0.031909067,196500,-0.0036644565,1500.0,0.08553331,515.3162517547607,0.65924764,131,0.649922251701355
0.0094239935,378,198000,0.0,0.15856141,198000,-0.007218121,1500.0,0.10546661,519.2780787944794,0.47254458,132,0.6477998495101929
0.0040232646,376,199500,0.23754,0.25557142,199500,-0.0033866707,1500.0,0.051599976,523.258602142334,0.4768616,133,0.6802541315555573
0.006513153,380,201000,0.0,0.06390887,201000,-0.005330246,1500.0,0.081066616,527.2029628753662,0.57962084,134,0.4157024621963501
0.004599196,381,202500,1.080459,0.23110525,202500,-0.0034209606,1500.0,0.051133297,531.1377313137054,0.49323273,135,0.528144508600235
0.005881189,382,204000,0.0,0.12983903,204000,-0.003317441,1500.0,0.07273329,535.0578300952911,0.5955422,136,0.4795365333557129
0.0065298406,374,205500,0.0,0.05992339,205500,-0.0016149103,1500.0,0.091333315,539.0616734027863,0.6590271,137,0.42938536405563354
0.005841419,390,207000,0.0,0.07954319,207000,-0.0046525584,1500.0,0.08126662,542.899909734726,0.5676866,138,0.31000280380249023
0.012583623,390,208500,0.228187,0.16394743,208500,-0.007435222,1500.0,0.0763333,546.7440536022186,0.5218397,139,0.7185382544994354
0.007058712,382,210000,0.0,0.11551098,210000,-0.006582249,1500.0,0.090999976,550.6696498394012,0.55440587,140,0.68568554520607
0.0037808493,375,211500,0.120512,0.09304197,211500,-0.0022643073,1500.0,0.042466644,554.6690027713776,0.54860544,141,0.08209902048110962
0.0030971044,380,213000,0.045124,0.100221425,213000,-0.0022925294,1500.0,0.034733318,558.6064922809601,0.56088585,142,0.10085028409957886
0.00555204,375,214500,0.0,0.058586847,214500,0.00050948706,1500.0,0.07859995,562.5981516838074,0.5737293,143,0.12354385852813721
0.010669573,371,216000,0.0,0.08236324,216000,-0.0041601164,1500.0,0.052199975,566.6312379837036,0.57723784,144,0.020265817642211914
0.009954427,388,217500,0.0,0.14319758,217500,-0.004883917,1500.0,0.10633332,570.491673707962,0.53003806,145,0.7090575993061066
0.0041958564,389,219000,0.0,0.10074959,219000,-0.002461849,1500.0,0.058199964,574.3474900722504,0.58814764,146,0.769992932677269
0.014489243,382,220500,0.0,0.10078924,220500,-0.0066915983,1500.0,0.14226666,578.269739151001,0.5548964,147,0.7750617414712906
0.0027433285,368,222000,0.121627,0.14915363,222000,-5.568019e-05,1500.0,0.030999985,582.3374969959259,0.51944125,148,0.5525279343128204
0.008558383,375,223500,0.146496,0.19850531,223500,-0.0063623963,1500.0,0.10146663,586.3346946239471,0.504349,149,0.6369993388652802
