serial_timesteps,fps,policy_entropy,value_loss,eplenmean,approxkl,explained_variance,eprewmean,policy_loss,clipfrac,time_elapsed,total_timesteps,nupdates
276000,393,1.0034498,20.069775,1500.0,0.003176162,0.9441584125161171,834.26412,-0.0026962892,0.012266666,716.8959481716156,276000,184
277500,393,0.9655429,18.256645,1500.0,0.0005149634,0.9523470401763916,879.176615,-0.00014015703,0.00013333333,720.7093715667725,277500,185
279000,384,0.9694472,19.251951,1500.0,0.0005833989,0.9630631543695927,881.437185,-0.0014187841,0.00033333336,724.6072452068329,279000,186
280500,369,1.0231663,20.91703,1500.0,0.0040757153,0.9367211759090424,778.328562,-0.0051327534,0.02313333,728.6709742546082,280500,187
282000,394,0.999181,19.435741,1500.0,0.00052796915,0.9472784548997879,877.978725,-0.00046340757,0.0,732.4718503952026,282000,188
283500,391,0.986181,16.020876,1500.0,0.0014810563,0.9697409104555845,871.444013,-0.0007978372,0.008933334,736.3040606975555,283500,189
285000,387,1.0404263,18.564013,1500.0,0.0018031689,0.9635581113398075,771.528472,-0.001924987,0.011933331,740.1778302192688,285000,190
286500,381,1.0170531,18.06201,1500.0,0.0047158464,0.9526700377464294,794.825247,-0.005233739,0.05373333,744.1056730747223,286500,191
288000,372,1.0417331,20.788795,1500.0,0.001546615,0.9428409151732922,869.853324,-0.002360804,0.018666668,748.1309947967529,288000,192
289500,391,1.0199057,20.156633,1500.0,0.0017717144,0.9586459025740623,911.747627,-0.0018618699,0.0073333327,751.9600818157196,289500,193
291000,396,1.0123843,2.9075818,1431.0,0.00064311177,0.9913170719519258,772.861446,-0.0010973823,0.0025999993,755.743483543396,291000,194
292500,393,1.0076864,3.7018654,1500.0,0.0023131608,0.9903329620137811,923.015283,-0.0025920868,0.008333333,759.5582277774811,292500,195
294000,389,1.0127674,3.0668015,1500.0,0.0040706894,0.9938322477973998,852.267219,-0.0043028533,0.046799973,763.4081966876984,294000,196
295500,393,1.0474238,2.9396348,1500.0,0.002954566,0.9919177507981658,807.453363,-0.0017436617,0.009333334,767.2231175899506,295500,197
297000,388,1.0749463,3.5876014,1500.0,0.009120412,0.9886939935386181,902.048017,-0.0035938802,0.15946667,771.0877416133881,297000,198
298500,396,1.0070544,5.133162,1500.0,0.003084324,0.9903766317293048,880.956774,-0.0026637274,0.0278,774.8673152923584,298500,199
300000,393,1.0286618,5.4470134,1500.0,0.0027518503,0.9888365175575018,788.160545,-0.0026304873,0.024266662,778.6772150993347,300000,200
