nupdates,total_timesteps,approxkl,policy_loss,value_loss,eplenmean,explained_variance,fps,serial_timesteps,eprewmean,time_elapsed,clipfrac,policy_entropy
150,307200,0.0058337566,-0.0061035072,19.259933,892.66,0.7378105819225311,283,307200,120.76,1001.897782087326,0.061279297,1.3318646
151,309248,0.01762967,-0.0122490255,7.0450096,898.72,0.626349538564682,269,309248,117.19,1009.5063869953156,0.23452148,1.4216292
152,311296,0.005199294,-0.0021204713,10.622689,909.03,0.6355322599411011,316,311296,118.18,1015.9816815853119,0.04501953,1.3181851
153,313344,0.010356993,-0.00635087,25.303083,915.43,0.7799630463123322,284,313344,122.62,1023.1758885383606,0.11118164,1.2007107
154,315392,0.009736079,-0.0036076233,1.4740169,914.62,0.7318345904350281,285,315392,117.58,1030.3545439243317,0.13481446,1.2660463
155,317440,0.014428218,-0.01320791,0.2872632,926.18,0.7635400891304016,277,317440,115.42,1037.7297341823578,0.2269043,1.3314226
156,319488,0.014072696,-0.0023412812,0.88994694,914.45,0.710907518863678,261,319488,109.57,1045.5531919002533,0.15947266,0.97284144
157,321536,0.006039483,-0.002951173,11.8202,892.77,0.6461988985538483,279,321536,109.92,1052.8758025169373,0.06801758,1.230154
158,323584,0.009161136,-0.005723608,2.3623068,899.07,0.6740846037864685,271,323584,107.89,1060.4164571762085,0.10649414,1.2029545
159,325632,0.017027266,-0.0022002268,8.074289,909.08,0.7654584497213364,303,325632,107.59,1067.1683676242828,0.19921875,1.335744
160,327680,0.0086588655,-0.0055491296,29.894703,913.13,0.7045629024505615,309,327680,112.41,1073.7904727458954,0.10205078,1.241741
161,329728,0.016252112,-0.010833355,19.597157,916.32,0.7612141966819763,301,329728,115.9,1080.5911872386932,0.1644043,1.166723
162,331776,0.008082146,-0.0037821035,19.946177,912.84,0.6448747217655182,292,331776,114.88,1087.597974538803,0.101464845,1.1684695
163,333824,0.0120264385,-0.003208592,0.30801564,910.34,0.5933240652084351,266,333824,115.74,1095.2899961471558,0.14838867,1.2050352
164,335872,0.009618649,-0.008122763,26.344992,895.59,0.5981142520904541,261,335872,115.29,1103.1241788864136,0.09291992,1.2993906
165,337920,0.008729079,-0.010097075,16.121841,890.64,0.6504108309745789,300,337920,118.95,1109.9302802085876,0.11030273,1.3091333
166,339968,0.022320146,-0.009044196,8.504005,871.9,0.7803603708744049,271,339968,118.18,1117.4646468162537,0.17392579,1.1494662
167,342016,0.0065195253,-0.00466263,30.50116,865.26,0.6721993982791901,315,342016,121.37,1123.9563555717468,0.07211914,1.2708048
168,344064,0.016143033,-0.006361817,6.8986917,858.79,0.679837167263031,298,344064,122.4,1130.8105280399323,0.21762696,1.2414567
169,346112,0.0125222355,-0.0041662096,10.081404,843.51,0.788557231426239,295,346112,118.69,1137.7400703430176,0.15244141,1.2191978
170,348160,0.008443124,-0.00086445047,1.970451,843.57,0.8261180818080902,282,348160,118.25,1144.9855411052704,0.1116211,1.3188843
171,350208,0.0132590365,-0.0025573005,6.8742394,841.09,0.6916161179542542,276,350208,111.71,1152.4034605026245,0.16884765,1.2040532
172,352256,0.016640315,-0.0055946736,0.023343038,849.83,0.3702242374420166,311,352256,110.1,1158.9810359477997,0.21108398,1.3846343
173,354304,0.014434186,-0.008423356,7.252118,860.44,0.6613661348819733,320,354304,105.92,1165.3771159648895,0.19873047,1.2120912
174,356352,0.0070498413,-0.0039859666,14.321245,861.09,0.7620978057384491,294,356352,104.64,1172.333690404892,0.090429686,1.221185
175,358400,0.010565487,-0.0058310404,0.29280937,855.96,0.8526421785354614,317,358400,102.24,1178.7869846820831,0.14082031,1.2916756
176,360448,0.007017518,-0.0089658005,1.7024765,862.48,0.6810089647769928,333,360448,100.77,1184.9197475910187,0.095898435,1.3190695
177,362496,0.008578867,-0.0055044247,1.0420861,860.45,0.6939553320407867,309,362496,96.92,1191.5477347373962,0.103955075,1.2949407
178,364544,0.01148927,-0.007824773,0.09651925,865.97,0.7190810143947601,317,364544,92.81,1198.0027678012848,0.1574707,1.3296168
179,366592,0.006786292,-0.007158749,0.24079823,865.27,0.7061643302440643,336,366592,88.05,1204.0866301059723,0.09121094,1.2654614
180,368640,0.009130673,-0.0023428565,0.94119006,866.56,0.7315378487110138,336,368640,87.78,1210.1652009487152,0.118457034,1.2429764
181,370688,0.008949201,-0.005471989,8.944443,882.24,0.6199004054069519,323,370688,87.38,1216.4984557628632,0.13686523,1.2618935
182,372736,0.009647352,-0.0077635637,0.22313592,874.19,0.41815853118896484,322,372736,85.89,1222.8516399860382,0.14013672,1.2552079
183,374784,0.0070379004,-0.002148437,20.296116,878.97,0.6818998456001282,317,374784,87.96,1229.3032100200653,0.09082031,1.218111
184,376832,0.0130855115,-0.0004897596,9.987874,886.77,0.7893665432929993,327,376832,89.29,1235.563980102539,0.16503906,1.2555548
185,378880,0.012925817,-0.0052332124,11.87563,895.34,0.7297676205635071,317,378880,88.15,1242.021103143692,0.18041992,1.2166193
186,380928,0.009274898,-0.0052797506,9.46818,897.95,0.8106985241174698,316,380928,87.25,1248.500752210617,0.12104492,1.1878113
187,382976,0.00835946,-0.0035581528,0.4254695,903.76,0.6702786386013031,359,382976,85.65,1254.1908411979675,0.11264648,1.1685547
188,385024,0.014233532,0.0020356101,2.8561969,910.35,0.37310367822647095,316,385024,85.08,1260.6531255245209,0.17089844,1.2383349
189,387072,0.015876384,-0.010134046,0.059960872,916.63,0.7387063205242157,342,387072,84.49,1266.6330258846283,0.190625,1.2014936
190,389120,0.010193755,-0.008083587,0.0861909,921.14,0.5532639026641846,325,389120,82.57,1272.9245991706848,0.14980468,1.3538604
191,391168,0.008119193,-0.0042452635,1.7474997,900.16,0.3521139621734619,305,391168,80.94,1279.6304786205292,0.091357425,1.1108932
192,393216,0.025553877,-0.0035814426,0.015808655,903.17,0.4300168752670288,318,393216,79.16,1286.0535397529602,0.15854493,0.95587426
193,395264,0.01717418,-0.0042800885,2.5218518,918.07,0.04245471954345703,290,395264,78.71,1293.0958931446075,0.14760742,0.99414504
194,397312,0.0075785713,-0.0016151462,3.3449993,902.66,0.3186569809913635,282,397312,75.67,1300.3582408428192,0.090429686,1.1322788
195,399360,0.026369896,-0.0067458027,0.018080834,905.1,0.7526215016841888,309,399360,74.24,1306.9675855636597,0.17255859,0.9236337
196,401408,0.006990726,-0.0019049629,23.426003,909.91,0.06279158592224121,290,401408,78.16,1314.020813703537,0.079394534,0.9472791
197,403456,0.009366017,-0.006156952,0.23965363,905.21,0.6548150479793549,285,403456,72.95,1321.2038567066193,0.12016602,1.2545177
198,405504,0.006109045,-0.003832518,2.4696298,898.98,0.09220534563064575,269,405504,70.75,1328.8096377849579,0.07519531,1.0616883
199,407552,0.014870688,-0.0037311446,0.00652667,902.87,0.6565162837505341,282,407552,70.75,1336.0697379112244,0.23989257,1.2833453
200,409600,0.011233786,-0.008379763,0.0065260255,906.91,0.27000313997268677,298,409600,70.41,1342.937301158905,0.14023438,1.3259208
201,411648,0.011548732,-0.0064435923,3.3024075,916.61,0.230890691280365,249,411648,69.7,1351.1501801013947,0.15219727,1.1429734
