nupdates,serial_timesteps,time_elapsed,fps,value_loss,policy_entropy,approxkl,explained_variance,policy_loss,total_timesteps,eprewmean,eplenmean,clipfrac
99,148500,391.1636734008789,384,20.121702,0.9980115,0.00025213463,0.9560377150774002,-0.00060761604,148500,809.798207,1500.0,0.0
100,150000,394.9626655578613,394,32.512848,0.8235609,0.004640056,0.9403250329196453,-0.003692652,150000,588.505502,1500.0,0.03919998
101,151500,398.7429265975952,396,21.193487,1.0118278,0.0067382096,0.9539228491485119,-0.0064946758,151500,799.739226,1500.0,0.08946663
102,153000,402.7293722629547,376,20.001087,0.8451689,0.0011630714,0.9589155167341232,-4.904817e-05,153000,908.097891,1500.0,0.001
103,154500,406.53707671165466,393,19.568235,0.8712845,0.0054174983,0.9485171139240265,-0.0023371212,154500,845.565842,1500.0,0.040666655
104,156000,410.330792427063,395,19.584854,0.8859849,0.0022361486,0.9552484005689621,-0.0025466832,156000,873.087803,1500.0,0.005733334
105,157500,414.2116644382477,386,22.334389,0.88955504,0.0018450986,0.9393446743488312,-0.0018508211,157500,895.872156,1500.0,0.010666666
106,159000,417.992125749588,396,23.106785,0.80284935,0.00016508624,0.9559107050299644,-0.000472532,159000,722.250025,1500.0,0.0
107,160500,421.7863094806671,395,21.767128,1.0555576,0.0016453249,0.9441321231424809,-0.0010288266,160500,859.901386,1500.0,0.0008666667
108,162000,425.586891412735,394,17.45052,0.90209335,0.002301783,0.9598956666886806,-0.002499744,162000,867.021875,1500.0,0.004266667
109,163500,429.3556823730469,398,24.491016,0.768853,0.0020490652,0.9591563753783703,-0.0021339427,163500,793.461649,1500.0,0.01493333
110,165000,433.184876203537,391,21.281282,0.8959407,0.0008023239,0.9627370089292526,-0.0015703561,165000,765.31931,1500.0,0.0002
111,166500,436.9936144351959,393,22.265171,0.88886184,0.008317815,0.9639363661408424,-0.0032400296,166500,824.396986,1500.0,0.16793333
112,168000,440.7814700603485,396,105.66581,0.9825296,0.00018298777,0.8139491826295853,-5.0478866e-05,168000,1035.681256,1500.0,0.0
113,169500,444.5793402194977,394,20.228579,0.75229937,0.0023365396,0.9667929485440254,-0.0014997165,169500,764.256211,1500.0,0.0129999975
114,171000,448.8271207809448,353,528.96924,0.94891685,0.0018955446,0.5814012289047241,-0.0013037964,171000,1189.160659,1500.0,0.009133333
115,172500,452.6749601364136,389,22.29303,1.0586429,0.00052062917,0.9432405643165112,-0.00019241817,172500,792.045665,1500.0,0.0
116,174000,456.45053720474243,397,20.443398,0.8165138,0.0073261987,0.9501709267497063,-0.0043138294,174000,915.41177,1500.0,0.12799999
117,175500,460.23668384552,396,48.485172,0.80404574,0.0014893904,0.9190176576375961,-0.0012967535,175500,846.512135,1500.0,0.008266667
118,177000,464.0588641166687,392,53.523144,0.90940255,0.0024938148,0.9154715687036514,-0.0014829248,177000,637.887935,1500.0,0.012666665
119,178500,467.8994183540344,390,78.924446,0.94409907,0.000958376,0.875371940433979,-0.0013113576,178500,662.349997,1500.0,0.0006
120,180000,471.7042555809021,394,20.694761,0.95604515,0.0017041536,0.9663074724376202,-0.0026067228,180000,587.036998,1500.0,0.009133332
121,181500,475.5140302181244,393,44.805195,1.1017947,0.006110048,0.9028746634721756,-0.0067826323,181500,781.467906,1500.0,0.08959996
122,183000,479.306120634079,395,19.257336,0.9304489,0.004306698,0.9545831941068172,-0.0022695903,183000,785.442743,1500.0,0.04213332
123,184500,483.1386797428131,391,19.460102,0.8962359,0.0077073197,0.9568827860057354,-0.0055901497,184500,891.046327,1500.0,0.11826666
124,186000,486.9415352344513,394,19.808918,0.9684908,0.0014748261,0.9523158147931099,-0.000644923,186000,847.753753,1500.0,0.0073333327
125,187500,490.75873732566833,392,19.79045,0.9656452,0.0012046334,0.9471139200031757,-0.0001910531,187500,898.225457,1500.0,0.0018666664
126,189000,494.9851288795471,354,23.129044,0.92133546,0.002926304,0.9460516907274723,-0.0009680127,189000,840.187295,1500.0,0.0101333335
127,190500,498.77166414260864,396,21.416182,0.86260283,0.0014150105,0.9614470787346363,-0.00042784325,190500,818.163975,1500.0,0.0063333325
