eplenmean,policy_loss,clipfrac,time_elapsed,fps,nupdates,policy_entropy,value_loss,eprewmean,explained_variance,serial_timesteps,total_timesteps,approxkl
860.98,-0.0028943366,0.110333376,3336.095067024231,354,814,1.0982699,0.7566421,87.05324476000001,0.8375807851552963,1221000,1221000,0.00843921
841.5,-0.0071290554,0.10493332,3341.259256362915,290,815,0.93608826,0.68158823,84.062584,0.7356935143470764,1222500,1222500,0.007874171
834.94,-0.0057264096,0.15980001,3345.215167284012,379,816,1.1922235,1.0908179,80.82692056,0.7901605665683746,1224000,1224000,0.013968099
832.96,-0.0074407887,0.11779999,3349.427776813507,356,817,1.0424503,1.3571597,81.44324245000001,0.8436495810747147,1225500,1225500,0.008294666
840.94,-0.0051880195,0.19386669,3353.2548036575317,391,818,1.169994,0.8251195,81.50521914,0.8488208949565887,1227000,1227000,0.012951102
840.94,-0.0010173133,0.1546,3357.1187376976013,388,819,1.2916591,4.559291,80.93011055000001,0.720544844865799,1228500,1228500,0.009756071
846.96,-0.0017916979,0.09986666,3360.946587085724,391,820,1.1862031,11.053235,84.72026694,0.664591372013092,1230000,1230000,0.00670445
846.96,-0.0065286965,0.120133325,3364.7788450717926,391,821,1.2156768,6.9278655,85.78778196000002,0.5898605287075043,1231500,1231500,0.008320908
846.96,-0.008900601,0.18173334,3368.6476628780365,387,822,1.194088,8.100696,86.10536493,0.7419350147247314,1233000,1233000,0.01570342
834.49,-0.0035346108,0.07393329,3372.8095138072968,360,823,1.2124188,1.1967974,80.57019288000001,0.8407211303710938,1234500,1234500,0.0062119896
835.86,0.005131525,0.18013336,3376.650392770767,390,824,1.204864,1.5584058,81.13760174,0.7252059578895569,1236000,1236000,0.015544586
839.65,-0.009064118,0.1248,3380.514663219452,388,825,1.3549267,13.267479,84.27190867000002,0.5704229474067688,1237500,1237500,0.010138862
848.69,-0.0029327834,0.14606668,3384.321955680847,394,826,1.3000972,10.5076065,87.16661636,0.6862176656723022,1239000,1239000,0.010492554
838.45,-0.005364588,0.091733344,3388.268022298813,380,827,1.3957775,1.7242606,86.70452212000001,0.8282913267612457,1240500,1240500,0.0074780057
831.25,-0.009099155,0.13020003,3393.281559944153,299,828,1.1666716,0.5163247,85.53978789000001,0.8553640693426132,1242000,1242000,0.00945448
813.61,-0.00522698,0.13973336,3397.579645395279,349,829,1.2425628,0.65679604,82.38161341000001,0.8967861607670784,1243500,1243500,0.009345603
826.38,-0.008883828,0.07646663,3401.357822418213,397,830,1.3781714,19.692816,87.93775464999999,0.6020754277706146,1245000,1245000,0.008085597
810.68,-0.010081891,0.12626667,3406.2325224876404,307,831,1.2371887,2.2516994,86.93462791,0.7712964564561844,1246500,1246500,0.010284733
792.16,-0.004677774,0.0841333,3411.5283477306366,283,832,1.1591188,1.3921808,82.21636972000002,0.7022880017757416,1248000,1248000,0.007400198
730.54,-0.0064026807,0.1753333,3417.3326613903046,258,833,1.0721759,1.3494807,71.2608007,0.4578741192817688,1249500,1249500,0.012582077
719.97,-0.0057044863,0.10226664,3422.195538520813,308,834,1.1576234,1.4596393,69.55719368000001,0.7224397361278534,1251000,1251000,0.007345941
681.04,-0.008424745,0.118599966,3427.071221590042,307,835,1.1918412,1.4431641,64.45585446,0.7994368076324463,1252500,1252500,0.00792414
659.08,-0.0046830033,0.07753332,3431.239363193512,359,836,1.3898352,9.632411,63.120400370000006,0.5947484970092773,1254000,1254000,0.006898473
671.05,-0.001188812,0.081333324,3435.0719044208527,391,837,1.4427093,5.9847274,65.49688936,0.6340081095695496,1255500,1255500,0.007414098
675.59,-0.00707921,0.14006668,3439.546936750412,335,838,1.2932787,12.693903,68.43347548,0.6600790321826935,1257000,1257000,0.009562137
669.29,-0.0037139854,0.08086662,3444.09112906456,330,839,1.3440586,4.836055,67.98018394,0.777380034327507,1258500,1258500,0.006494304
644.13,-0.0048350054,0.12593333,3450.0357925891876,252,840,1.1065332,0.80301034,66.43556175,0.7009096443653107,1260000,1260000,0.010485777
618.53,-0.00531987,0.10946668,3455.2269616127014,288,841,1.0389736,1.8988054,65.64549447,0.8137794882059097,1261500,1261500,0.007731119
