total_timesteps,eprewmean,approxkl,value_loss,serial_timesteps,explained_variance,policy_loss,fps,eplenmean,time_elapsed,nupdates,policy_entropy,clipfrac
213000,525.81,7.0146256e-05,24.19983,213000,0.9625806696712971,-0.00037955688,360,1338.13,570.9828646183014,142,0.95849067,0.0
214500,518.66,1.46957755e-05,28.949257,214500,0.9356923848390579,-0.00018959753,363,1332.85,575.1122605800629,143,0.93395066,0.0
216000,520.97,9.296109e-05,20.453028,216000,0.9666880331933498,-0.0005470838,360,1334.18,579.2706303596497,144,1.0002176,0.0
217500,521.38,5.4422662e-06,38.60469,217500,0.9318206310272217,-7.013735e-05,340,1334.92,583.6717443466187,145,0.96954155,0.0
219000,519.84,4.5392793e-05,17.253407,219000,0.9683406092226505,-0.00042206392,379,1333.0,587.6287860870361,146,0.68819153,0.0
220500,513.72,4.535654e-06,22.14358,220500,0.9568188264966011,-8.215601e-05,355,1327.33,591.8474333286285,147,0.7819595,0.0
222000,509.58,8.555551e-05,39.30461,222000,0.9341059550642967,-0.00057037605,334,1320.38,596.3255009651184,148,0.9041562,0.0
223500,509.62,2.83429e-06,23.830769,223500,0.9621901549398899,-2.4205083e-06,347,1319.08,600.642995595932,149,0.79876596,0.0
225000,511.63,9.613826e-06,20.520908,225000,0.9583970382809639,-0.00015989623,366,1321.31,604.741473197937,150,0.8456896,0.0
226500,504.63,3.6406307e-06,40.239376,226500,0.9221256598830223,-4.704979e-05,322,1314.55,609.4001138210297,151,0.9012885,0.0
228000,501.3,2.1398384e-05,20.326828,228000,0.9690101630985737,-0.00020723611,368,1314.55,613.4658319950104,152,0.9686713,0.0
229500,505.96,2.0835483e-05,25.556473,229500,0.9441903792321682,-0.00019154418,338,1317.12,617.901486158371,153,1.0751865,0.0
231000,504.73,9.370613e-06,24.34455,231000,0.9534804560244083,-5.610031e-05,339,1317.12,622.3179750442505,154,0.98907965,0.0
232500,509.56,1.6499936e-05,25.179983,232500,0.952949233353138,-0.00013206134,374,1319.77,626.3281533718109,155,0.89185333,0.0
234000,507.4,4.0929954e-06,20.275114,234000,0.9554745517671108,-5.9635622e-05,369,1315.64,630.3901908397675,156,0.67524374,0.0
235500,511.83,8.7648e-06,21.617271,235500,0.9611540883779526,-0.00010027202,347,1315.78,634.7118620872498,157,1.0313241,0.0
237000,515.75,2.4440747e-05,26.30904,237000,0.9424522630870342,-0.00029639376,352,1317.7,638.964827299118,158,0.96728456,0.0
238500,515.8,2.576506e-05,23.120413,238500,0.9558973051607609,-0.00012415626,336,1317.7,643.4199175834656,159,1.0123034,0.0
240000,522.43,4.9227096e-05,24.068752,240000,0.952248927205801,-0.00048526106,382,1323.13,647.3450961112976,160,1.0347536,0.0
241500,526.69,2.4022944e-05,22.740934,241500,0.9535255171358585,-5.972123e-05,360,1324.81,651.5078806877136,161,1.041301,0.0
243000,532.02,8.65693e-05,22.60882,243000,0.9608769714832306,-0.00047122958,367,1327.9,655.5945317745209,162,1.0042787,0.0
244500,531.94,0.000140369,25.985964,244500,0.9432568103075027,-0.0005820027,357,1327.9,659.7925026416779,163,1.0639892,0.0
246000,533.06,6.8719884e-05,20.154222,246000,0.9762508738785982,-0.0005391278,354,1327.9,664.0287244319916,164,1.0005716,0.0
247500,531.67,4.7885063e-05,28.404749,247500,0.9354643225669861,-0.00032907788,349,1327.78,668.323308467865,165,0.9847829,0.0
249000,531.79,0.00012202653,23.573948,249000,0.956290926784277,-0.0007018995,375,1326.49,672.3160707950592,166,1.0179101,0.0
250500,536.62,0.00013623215,25.279375,250500,0.9510929994285107,-0.0009775213,380,1328.72,676.2630245685577,167,0.9979397,0.0
252000,529.88,8.604011e-05,43.314312,252000,0.9255523458123207,-0.00077293144,354,1323.14,680.4991421699524,168,0.70877767,0.0
253500,535.77,3.7101431e-06,24.872652,253500,0.9528138898313046,-7.470562e-06,391,1325.22,684.332855463028,169,1.0017662,0.0
255000,538.51,5.202359e-05,27.078926,255000,0.938021507114172,-0.00047140205,380,1324.59,688.2763447761536,170,0.87769216,0.0
256500,537.68,7.34481e-05,25.554583,256500,0.9552958942949772,-0.00046777402,382,1324.31,692.1952922344208,171,1.005226,0.0
258000,534.63,7.147248e-05,40.748817,258000,0.9248369336128235,-0.00041524784,356,1317.88,696.4066364765167,172,1.0027187,0.0
259500,529.07,6.971278e-05,19.482498,259500,0.9543046727776527,-0.00018991476,386,1313.17,700.2913527488708,173,0.6128302,0.0
