eprewmean,policy_loss,total_timesteps,nupdates,clipfrac,eplenmean,approxkl,fps,policy_entropy,explained_variance,serial_timesteps,time_elapsed,value_loss
6.601420573333333,-8.271055e-05,100000,50,0.0,23.85333333333333,7.338914e-05,762,0.7558719,-0.05176258087158203,50000,133.2983455657959,6.844242
6.3452694633333335,-0.00023512749,102000,51,0.0,24.53,0.00024634844,768,0.74863154,-0.11142659187316895,51000,135.90020394325256,6.051261
6.032250986666666,-0.00041463302,104000,52,0.0,24.66,0.0002790768,760,0.7245252,-0.02306818962097168,52000,138.5322141647339,7.4656987
5.59048922,-0.0004075602,106000,53,0.0,25.046666666666667,0.00024969628,771,0.69833314,-0.041277408599853516,53000,141.12412118911743,9.861384
5.751854069999999,-0.0010752272,108000,54,0.0135,25.8,0.0009975494,771,0.6985907,0.001108705997467041,54000,143.71645617485046,5.7037187
5.493227583333333,-0.00016259584,110000,55,0.0,25.55666666666667,0.00013362183,758,0.74701744,0.00796276330947876,55000,146.3550488948822,6.928896
5.77867042,-8.035797e-05,112000,56,0.0,26.343333333333334,3.4396056e-05,782,0.74565864,0.018722057342529297,56000,148.91148209571838,5.514513
6.032919053333333,2.4974852e-05,114000,57,0.0,26.166666666666668,9.628279e-05,763,0.7406037,0.02419602870941162,57000,151.53294229507446,6.098351
6.2046884900000006,-0.0007884963,116000,58,0.0017,25.743333333333332,0.00030724247,762,0.7385978,0.03989666700363159,58000,154.1571023464203,5.1730695
6.32785688,-1.1925682e-05,118000,59,0.0,25.85333333333333,3.4215973e-05,772,0.7238118,-0.004977583885192871,59000,156.7471423149109,6.9448566
5.816206,-0.00038627547,120000,60,0.0,24.736666666666668,0.00011580156,752,0.72316444,0.026349544525146484,60000,159.40364956855774,8.521067
6.023026523333333,-0.00012090383,122000,61,0.0,24.56,3.5282534e-05,768,0.7185795,0.025595664978027344,61000,162.007550239563,5.8369727
5.93772185,-0.00032536522,124000,62,0.0,24.526666666666667,0.0003872025,765,0.71724427,0.0215340256690979,62000,164.62063312530518,6.0725713
6.054730263333333,-0.00027720735,126000,63,0.0,24.983333333333334,6.202278e-05,773,0.67383796,-0.010559320449829102,63000,167.20801210403442,8.270455
6.28060182,-0.00074586197,128000,64,0.0053,25.243333333333332,0.0010093496,756,0.65482783,0.03192621469497681,64000,169.85240054130554,5.411597
6.373963130000001,-0.0012625264,130000,65,0.0061999992,25.68,0.00056257984,781,0.6463113,0.0700068473815918,65000,172.4132399559021,4.4747796
6.746073186666667,-0.0023352823,132000,66,0.031100007,26.49,0.0021486368,781,0.71387476,0.010985255241394043,66000,174.97308564186096,4.5172353
6.952067919999999,-0.0001800368,134000,67,0.0002,25.85333333333333,0.00028718266,746,0.7569989,0.04038137197494507,67000,177.65116214752197,7.2353735
6.668179703333333,-4.227639e-05,136000,68,0.0,24.93,5.0331815e-05,740,0.76550347,0.009136855602264404,68000,180.35287594795227,7.4892497
6.681038476666668,-0.00029024057,138000,69,0.0,23.873333333333335,5.1272233e-05,750,0.78575003,0.05871379375457764,69000,183.0189733505249,5.775704
5.974570023333333,-0.0016486563,140000,70,0.0074,22.936666666666667,0.0012292351,737,0.7549316,0.060454487800598145,70000,185.73096442222595,7.6358156
5.90272005,-0.00076254,142000,71,0.008900001,23.043333333333333,0.00082936644,749,0.7326385,0.055284202098846436,71000,188.3984489440918,5.9094615
