serial_timesteps,total_timesteps,nupdates,eprewmean,value_loss,approxkl,explained_variance,policy_loss,clipfrac,eplenmean,time_elapsed,fps,policy_entropy
181000,362000,181,7.052446101249999,2.8134162,0.0021205856,0.16990023851394653,-0.0017663093,0.019699998,23.243,443.3103404045105,774,0.7274182
182000,364000,182,7.0844422545,5.053155,0.00068894326,0.19881165027618408,-0.00016286901,0.0079999985,23.245,445.85939860343933,785,0.6753599
183000,366000,183,7.1087228615,2.9210517,0.001064906,0.11171108484268188,-0.0018850287,0.014199998,23.28575,448.3121428489685,816,0.6457305
184000,368000,184,7.04490089725,6.663373,0.0020003312,0.12486481666564941,-0.0008627525,0.0168,23.257,450.9088864326477,770,0.6883186
185000,370000,185,7.03289578625,4.4889402,0.0011442511,0.15267640352249146,-0.0008622735,0.012199998,23.31425,453.4072074890137,801,0.68548226
186000,372000,186,7.037951818000001,5.7837234,0.0011185958,0.23183512687683105,-0.0016897417,0.0083,23.303,455.9291579723358,793,0.6617664
187000,374000,187,7.033514465250001,5.905215,0.0011625566,0.19305682182312012,-0.001196463,0.015800001,23.27275,458.61385560035706,745,0.70462364
188000,376000,188,7.0447955695,4.4955287,0.0017292288,0.21632593870162964,-0.0007169954,0.027499996,23.315,461.14203667640686,791,0.71314275
189000,378000,189,7.090285265,4.081746,0.0010624018,0.15907341241836548,-0.0020627966,0.015800001,23.299,463.7275278568268,774,0.7187386
190000,380000,190,7.0955069515,5.270798,0.0015882744,0.19546270370483398,-0.0013936267,0.015099995,23.32,466.43479442596436,739,0.7359732
