serial_timesteps,total_timesteps,value_loss,time_elapsed,nupdates,clipfrac,fps,policy_loss,explained_variance,policy_entropy,approxkl,eprewmean,eplenmean
135000,135000,20.326778,367.34608578681946,90,0.0,392,-0.00033213772,0.9656917341053486,0.9850281,0.00024253773,800.094392,1500.0
136500,136500,20.015287,371.24756479263306,91,0.021533335,384,-0.0022160262,0.9643182829022408,1.0233043,0.0017740184,781.014609,1500.0
138000,138000,4.1190658,375.1337022781372,92,0.00013333333,386,-0.00038263624,0.992554780561477,0.9764777,0.00048519246,648.410681,1311.0
139500,139500,691.1512,378.9729175567627,93,0.0018000001,390,-0.0002107829,0.4353559613227844,0.9565713,0.0004955419,1124.137417,1362.0
141000,141000,20.824745,383.250191450119,94,0.07999997,350,-0.005075178,0.957148116081953,0.8707436,0.0062604574,711.331062,1267.0
142500,142500,2.861675,387.1855037212372,95,0.02619999,381,-0.0052411137,0.9953316748142242,0.66781104,0.00260266,483.588724,1107.0
144000,144000,19.090488,391.07667803764343,96,0.028266663,385,-0.001121909,0.9702758751809597,0.9699608,0.0024201705,745.402316,1500.0
145500,145500,19.23216,394.9650526046753,97,0.0,385,-0.00057700713,0.9643584191799164,0.87826514,0.00032841112,651.131362,1344.0
147000,147000,21.684658,398.8457238674164,98,0.05326666,386,-0.003061943,0.9560213573276997,0.9574167,0.0037308652,814.782976,1500.0
148500,148500,6.848385,402.7168986797333,99,0.0751333,387,-0.0048193457,0.9862482203170657,0.8311977,0.0062905564,734.713602,1246.0
150000,150000,23.950695,406.9565603733063,100,0.056533307,353,-0.0048366175,0.9586095735430717,0.60757846,0.003975624,347.752832,832.0
151500,151500,19.544762,410.87331795692444,101,0.0019333332,382,-0.001763904,0.952791839838028,1.0138407,0.0013470112,852.543108,1500.0
153000,153000,216.78911,414.74973821640015,102,0.059533313,386,-0.0015886398,0.6694454550743103,0.817178,0.0051698615,831.591794,1035.0
154500,154500,19.506807,418.65303468704224,103,0.0,384,-0.00034118936,0.9550602622330189,0.9010707,0.00036079134,930.456006,1500.0
156000,156000,21.613314,422.86823773384094,104,0.015133332,355,-0.0012617271,0.9556088894605637,0.896647,0.0029457726,430.948232,819.0
157500,157500,6.1943035,426.71423172950745,105,0.04286665,390,-0.0039338954,0.9874223629012704,0.62295175,0.0036200704,504.768105,1033.0
159000,159000,19.023193,430.56736063957214,106,0.024799995,389,-0.0027247306,0.9548982977867126,0.9335598,0.0035348109,871.087551,1500.0
