steps,episode,episode steps,reward,loss,mse,mean_q,test episode,test reward,test steps,test steps(s)
33555/500000,223,124,-77.971,22.857843,26.211956,-0.195773,223,-11.366,337,142
33720/500000,224,165,-73.147,40.737572,38.846409,-0.444006,224,-42.796,245,176
34064/500000,225,344,3.873,31.245089,32.49612,-0.460406,225,42.369,551,141
34132/500000,226,68,-94.79,25.225674,28.486328,-0.250263,226,-50.602,241,124
34285/500000,227,153,-65.004,24.467299,27.669504,-0.203353,227,277.164,959,201
34516/500000,228,231,-4.527,25.267193,28.329626,-0.184096,228,40.835,579,189
34784/500000,229,268,-37.548,29.199528,30.855385,-0.333449,229,-41.478,207,131
34968/500000,230,184,-63.92,25.913893,28.297358,-0.222737,230,83.728,666,85
35020/500000,231,52,-95.812,21.830025,25.00885,-0.237702,231,45.334,532,93
35314/500000,232,294,-24.187,20.592241,24.642494,-0.1542,232,-4.449,417,105
35461/500000,233,147,-78.861,34.016773,34.645153,-0.375518,233,-41.917,275,104
35531/500000,234,70,-93.523,18.590837,22.127594,-0.121974,234,-94.629,65,134
35636/500000,235,105,-84.34,30.06148,32.037346,-0.326935,235,-74.591,146,201
35769/500000,236,133,-71.222,21.902243,26.483517,-0.259294,236,176.23,752,119
35893/500000,237,124,-77.85,26.510586,29.081802,-0.17781,237,-77.109,125,174
36008/500000,238,115,-88.967,33.110367,33.126865,-0.30215,238,73.765,525,201
36232/500000,239,224,-43.036,27.41728,30.319027,-0.358997,239,-90.465,94,116
36459/500000,240,227,-57.464,28.629078,30.460629,-0.186112,240,112.844,725,201
36554/500000,241,95,-91.251,39.921391,39.422707,-0.483064,241,-97.102,42,201
36788/500000,242,234,-52.436,32.426357,33.944893,-0.432707,242,1.684,386,201
36858/500000,243,70,-94.709,21.700542,27.058741,-0.504517,243,-70.309,161,201
36969/500000,244,111,-88.705,21.856306,25.932573,-0.261885,244,-33.37,223,171
37095/500000,245,126,-79.422,25.377157,28.244888,-0.236356,245,19.911,295,201
37281/500000,246,186,11.722,33.713333,35.344021,-0.393966,246,38.78,479,114
37401/500000,247,120,-83.717,27.737091,32.195564,-0.4434,247,-73.202,117,76
37731/500000,248,330,-36.413,26.210611,29.584784,-0.274097,248,29.686,492,181
37836/500000,249,105,-68.504,33.832035,36.473312,-0.438697,249,16.23,496,201
37946/500000,250,110,-88.202,23.486065,28.376154,-0.271322,250,-71.106,163,201
38109/500000,251,163,-52.367,28.002001,31.897478,-0.296242,251,-79.263,129,176
38320/500000,252,211,-50.948,30.278788,33.280426,-0.386657,252,-85.414,119,108
38671/500000,253,351,17.464,28.848372,32.599297,-0.336209,253,12.793,346,100
38775/500000,254,104,-89.922,26.955801,29.980053,-0.182303,254,28.995,591,103
38833/500000,255,58,-95.379,22.570517,26.715796,-0.312086,255,-40.11,255,149
38921/500000,256,88,-88.857,24.208208,28.671522,-0.293368,256,-26.513,292,201
39084/500000,257,163,-71.784,27.925476,32.240379,-0.361739,257,-33.435,284,189
39292/500000,258,208,-65.609,20.252583,26.242723,-0.157518,258,-87.174,107,187
39354/500000,259,62,-95.212,35.631565,38.151089,-0.36636,259,-23.073,365,201
39501/500000,260,147,-72.77,30.379757,33.373466,-0.347508,260,95.298,734,162
39946/500000,261,445,54.008,31.868692,34.334332,-0.320674,261,36.577,546,177
40155/500000,262,209,-55.059,25.352005,31.228239,-0.315798,262,32.872,526,201
40219/500000,263,64,-95.236,42.625435,44.289467,-0.513505,263,-79.946,148,201
40447/500000,264,228,-31.102,32.560455,39.260101,-0.634657,264,-34.916,295,106
40523/500000,265,76,-91.451,24.733479,34.202618,-0.423291,265,-0.538,371,175
40646/500000,266,123,-83.961,24.244864,31.628622,-0.235079,266,-45.875,291,99
40705/500000,267,59,-95.558,26.703806,34.798885,-0.399035,267,-28.871,215,100
40863/500000,268,158,-71.368,26.934397,33.041626,-0.260028,268,11.329,462,105
40999/500000,269,136,-78.849,23.885811,32.104233,-0.367385,269,-88.47,108,119
41223/500000,270,224,-22.549,21.460718,30.560984,-0.37489,270,-79.119,139,178
41441/500000,271,218,-46.713,23.679037,31.271994,-0.292745,271,78.803,587,201
41562/500000,272,121,-81.034,25.298082,32.889568,-0.332388,272,-73.289,142,91
41747/500000,273,185,-63.121,28.758928,36.419262,-0.475474,273,129.708,727,151
41834/500000,274,87,-88.734,31.93535,37.791218,-0.395389,274,-50.112,273,123
41978/500000,275,144,-66.768,17.831352,27.350618,-0.272772,275,-74.187,96,201
42424/500000,276,446,76.422,25.98251,32.538502,-0.260454,276,82.496,693,201
43056/500000,277,632,70.369,28.005205,35.57748,-0.395484,277,-65.063,145,199
43108/500000,278,52,-96.144,28.436808,35.70089,-0.361137,278,-67.557,142,195
43230/500000,279,122,-85.75,22.337898,30.962025,-0.328337,279,-89.722,95,134
43523/500000,280,293,4.363,27.460754,34.789055,-0.388153,280,-67.672,125,116
43602/500000,281,79,-92.708,28.302177,35.436291,-0.300422,281,-90.694,100,118
44033/500000,282,431,21.846,27.161877,34.390511,-0.39413,282,-64.232,165,108
44211/500000,283,178,-65.836,22.371508,31.277794,-0.337394,283,-39.232,265,116
44376/500000,284,165,-69.687,37.207008,42.363441,-0.601643,284,-80.414,124,158
44479/500000,285,103,-79.907,30.085587,37.898159,-0.549554,285,44.423,542,154
44618/500000,286,139,-83.677,26.956427,35.464787,-0.396898,286,114.199,733,108
44725/500000,287,107,-55.234,23.211252,34.202118,-0.436164,287,100,726,91
44817/500000,288,92,-91.362,21.386908,33.644047,-0.433014,288,-19.437,370,102
44952/500000,289,135,-68.392,24.599676,35.675259,-0.410446,289,-68.056,177,190
45091/500000,290,139,-63.562,22.156271,31.497643,-0.283547,290,-40.906,250,156
45176/500000,291,85,-75.241,26.044361,35.99432,-0.421756,291,-13.691,381,97
45534/500000,292,358,6.091,30.212271,37.775757,-0.433008,292,-75.85,145,157
45661/500000,293,127,-82.549,27.181808,37.109829,-0.635965,293,136.862,876,201
45974/500000,294,313,-37.827,27.231573,35.714214,-0.475452,294,-51.736,234,201
46237/500000,295,263,-41.345,25.947058,35.101727,-0.447598,295,-4.988,340,163
46553/500000,296,316,-28.557,26.575832,34.842823,-0.466498,296,183.402,1000,97
46631/500000,297,78,-93.811,27.475063,36.328613,-0.420541,297,-74.46,143,182
46897/500000,298,266,-49.674,30.011415,37.679089,-0.503006,298,-59.64,149,127
47343/500000,299,446,-2.179,20.491413,30.693932,-0.369373,299,-52.144,222,123
47452/500000,300,109,-79.029,22.969147,32.423862,-0.45943,300,-16.718,324,114
47565/500000,301,113,-77.362,19.557161,28.430187,-0.245542,301,11.954,393,115
47639/500000,302,74,-93.775,28.755524,33.016834,-0.218465,302,14.017,537,201
47691/500000,303,52,-95.949,19.632145,30.157101,-0.429827,303,64.424,514,100
47816/500000,304,125,-85.79,23.785482,33.379887,-0.441911,304,-15,376,134
48095/500000,305,279,-2.159,20.087955,30.459911,-0.331379,305,-91.393,87,100
48251/500000,306,156,-73.167,25.281965,33.820583,-0.331555,306,25.808,483,201
48606/500000,307,355,4.825,26.88904,36.300686,-0.55394,307,-58.824,219,198
49175/500000,308,569,118.43,29.168968,38.11882,-0.551731,308,-3.952,273,126
49222/500000,309,47,-96.739,18.771553,29.967804,-0.332934,309,-87.91,104,188
49274/500000,310,52,-96.002,14.932261,27.789608,-0.457382,310,-25.218,287,84
49558/500000,311,284,-31.48,23.650927,32.579967,-0.391256,311,91.36,743,201
49796/500000,312,238,-51.934,26.346336,36.297176,-0.372007,312,255.034,1002,197
50012/500000,313,216,-38.77,24.606352,34.756668,-0.482266,313,37.705,518,122
50251/500000,314,239,-60.407,23.270147,34.076591,-0.413003,314,-88.692,95,175
50557/500000,315,306,-20.947,24.355066,35.747437,-0.457268,315,-89.19,105,107
50617/500000,316,60,-95.286,17.752857,31.911976,-0.538177,316,-49.532,194,131
50691/500000,317,74,-93.763,31.491301,40.725422,-0.44454,317,-61.56,163,173
50750/500000,318,59,-95.006,34.41906,43.701859,-0.516093,318,-59.946,181,94
51190/500000,319,440,12.842,26.629246,38.238392,-0.440996,319,-81.52,132,201
51569/500000,320,379,14.261,24.48406,38.386589,-0.45177,320,-11.764,319,116
51742/500000,321,173,-45.543,25.756971,39.552391,-0.4487,321,-56.865,206,201
51836/500000,322,94,-92.576,21.820721,36.984318,-0.493865,322,7.928,308,122
52393/500000,323,557,65.951,20.820354,34.553326,-0.348101,323,-76.325,106,126
52520/500000,324,127,-73.338,19.722439,31.596272,-0.285191,324,34.401,479,110
52826/500000,325,306,-9.208,26.517347,37.225433,-0.45649,325,33.627,501,96
53078/500000,326,252,-41.961,25.976797,39.173187,-0.616945,326,47.695,596,174
53144/500000,327,66,-94.985,24.646679,37.531288,-0.459846,327,-60.415,146,200
53200/500000,328,56,-95.791,25.703823,36.077595,-0.388283,328,81.899,512,129
53389/500000,329,189,-57.82,25.618267,39.237236,-0.559378,329,11.171,379,181
53434/500000,330,45,-96.833,22.157484,35.286201,-0.414732,330,-86.27,105,201
53546/500000,331,112,-85.529,23.047129,36.584908,-0.413052,331,28.751,464,134
53608/500000,332,62,-95.488,31.53916,44.201267,-0.683136,332,-54.404,245,140
