mode,reward,step,vel,action
monkey,-23.831,1,0,1
monkey,-13.084,1,0,1
monkey,-66.936,1,0,1
monkey,-2.921,1,0,1
monkey,-1.694,1,0,1
monkey,-24.056,1,0,1
monkey,-31.187,1,0,1
monkey,-5.879,1,0,1
monkey,-0.923,1,0,1
monkey,-68.04,1,0,1
monkey,-0.329,1,0,1
monkey,-68.618,1,0,1
monkey,-45.128,1,0,1
monkey,-1.343,1,0,1
monkey,-17.288,1,0,1
monkey,-9.648,1,0,1
monkey,-12.364,1,0,1
monkey,-17.219,1,0,1
monkey,-19.006,1,0,1
monkey,-11.867,1,0,1
monkey,-26.515,1,0,1
monkey,-11.5,1,0,1
monkey,-0.687,1,0,1
monkey,-250.358,1,0,1
monkey,-49.417,1,0,1
monkey,-55.923,1,0,1
monkey,-8.608,1,0,1
monkey,-69.46,1,0,1
monkey,-13.837,1,0,1
monkey,-43.182,1,0,1
monkey,-27.966,1,0,1
monkey,-32.313,1,0,1
monkey,-0.034,1,0,1
monkey,-35.151,1,0,1
monkey,-1.417,1,0,1
monkey,-18.175,1,0,1
monkey,-0.594,1,0,1
monkey,-3.631,1,0,1
monkey,-69.462,1,0,1
monkey,-18.43,1,0,1
monkey,-18.45,1,0,1
monkey,-17.876,1,0,1
monkey,-4.105,1,0,1
monkey,-4.833,1,0,1
monkey,-45.304,1,0,1
monkey,-10.898,1,0,1
monkey,-30.324,1,0,1
monkey,-13.903,1,0,1
monkey,-9.9,1,0,1
monkey,-3.898,1,0,1
monkey,-11.252,1,0,1
monkey,-2.5,1,0,1
monkey,-15.526,1,0,1
monkey,-16.013,1,0,1
monkey,-100.316,1,0,1
monkey,-27.865,1,0,1
monkey,-9.119,1,0,1
monkey,-7.307,1,0,1
monkey,-35.016,1,0,1
monkey,-25.751,1,0,1
monkey,-0.247,1,0,1
monkey,-29.742,1,0,1
monkey,-60.618,1,0,1
monkey,-34.876,1,0,1
monkey,-80.376,1,0,1
monkey,-9.924,1,0,1
monkey,-29.645,1,0,1
monkey,-7.174,1,0,1
monkey,-19.117,1,0,1
monkey,-8.944,1,0,1
monkey,-1.656,1,0,1
monkey,-0.677,1,0,1
monkey,-3.56,1,0,1
monkey,-28.627,1,0,1
monkey,-23.923,1,0,1
monkey,-38.617,1,0,1
monkey,-0.388,1,0,1
monkey,-0.052,1,0,1
monkey,-7.445,1,0,1
monkey,-10.043,1,0,1
monkey,-17.33,1,0,1
monkey,-2.588,1,0,1
monkey,-23.345,1,0,1
monkey,-127.599,1,0,1
monkey,-64.794,1,0,1
monkey,-3.367,1,0,1
monkey,-0.944,1,0,1
monkey,-6.499,1,0,1
monkey,-6.711,1,0,1
monkey,-63.859,1,0,1
monkey,-71.538,1,0,1
monkey,-4.502,1,0,1
monkey,-29.287,1,0,1
monkey,-15.575,1,0,1
monkey,-4.524,1,0,1
monkey,-1.237,1,0,1
monkey,-62.21,1,0,1
monkey,-54.011,1,0,1
monkey,-129.301,1,0,1
monkey,-0.146,1,0,1
monkey,-26.159,1,0,1
monkey,-1.732,1,0,1
monkey,-10.545,1,0,1
monkey,-1.575,1,0,1
monkey,-8.158,1,0,1
monkey,-0.274,1,0,1
monkey,-43.444,1,0,1
monkey,-12.979,1,0,1
monkey,-41.79,1,0,1
monkey,-49.943,1,0,1
monkey,-53.626,1,0,1
monkey,-3.032,1,0,1
monkey,-4.878,1,0,1
monkey,-4.46,1,0,1
monkey,-25.785,1,0,1
monkey,-66.986,1,0,1
monkey,-0.004,1,0,1
monkey,-2.28,1,0,1
monkey,-29.639,1,0,1
monkey,-19.738,1,0,1
monkey,-93.922,1,0,1
monkey,-109.719,1,0,1
monkey,-0.036,1,0,1
monkey,-0.495,1,0,1
monkey,-38.167,1,0,1
monkey,-24.37,1,0,1
monkey,-6.03,1,0,1
monkey,-5.318,1,0,1
monkey,-9.582,1,0,1
monkey,-3.649,1,0,1
monkey,-83.481,1,0,1
monkey,-8.547,1,0,1
monkey,-0.718,1,0,1
monkey,-22.162,1,0,1
monkey,-27.545,1,0,1
monkey,-3.954,1,0,1
monkey,-14.46,1,0,1
monkey,-29.077,1,0,1
monkey,-4.917,1,0,1
monkey,-10.254,1,0,1
monkey,-22.999,1,0,1
monkey,-9.794,1,0,1
monkey,-86.462,1,0,1
monkey,-3.988,1,0,1
monkey,-5.025,1,0,1
monkey,-32.33,1,0,1
monkey,-11.02,1,0,1
monkey,-34.881,1,0,1
monkey,-48.595,1,0,1
monkey,-95.421,1,0,1
monkey,-40.3,1,0,1
monkey,-25.14,1,0,1
monkey,-5.9,1,0,1
monkey,-39.136,1,0,1
monkey,-57.984,1,0,1
monkey,-32.192,1,0,1
monkey,-7.076,1,0,1
