clipfrac,eplenmean,explained_variance,eprewmean,policy_loss,value_loss,fps,nupdates,approxkl,total_timesteps,policy_entropy,serial_timesteps,time_elapsed
0.035799995,1404.956043956044,0.7800627648830414,259.97947186813184,-0.0024429008,1.4916801,395,171,0.004279695,256500,1.2806625,256500,665.377596616745
6.666667e-05,1405.48087431694,0.9087425544857979,259.48454969945357,-0.0004495912,10.740396,398,172,0.00011666156,258000,1.1238923,258000,669.1446418762207
0.0,1405.3858695652175,0.9592508710920811,261.31808586413047,-0.0020939375,12.569554,384,173,0.00043677082,259500,1.1063762,259500,673.0417654514313
0.0,1405.1891891891892,0.9609314911067486,263.14739660000004,-0.0008642351,7.5568767,395,174,6.765827e-05,261000,1.2944419,261000,676.8354184627533
0.0,1405.7043010752689,0.9714216720312834,261.9645869354839,-0.0007212374,5.753906,397,175,0.00011644791,262500,1.1413723,262500,680.6084594726562
0.0,1406.2139037433155,0.9564215689897537,264.19868534224605,-0.00024173375,14.134388,377,176,1.0570741e-05,264000,1.0332439,264000,684.5782792568207
0.0,1406.718085106383,0.9540158547461033,265.73143309574476,-0.00034337715,13.524737,385,177,3.2015865e-05,265500,1.0138294,265500,688.4690687656403
0.0,1407.1216931216932,0.9655691534280777,267.1848430105821,-0.0003034689,12.39124,392,178,5.040985e-05,267000,1.0561781,267000,692.2905769348145
6.666667e-05,1407.3947368421052,0.9759493879973888,268.7888212000001,-0.0018284429,4.2973423,396,179,0.00045034187,268500,1.3041828,268500,696.0697371959686
0.012133335,1407.8848167539268,-0.06006264686584473,267.89471157591623,-0.0017617865,5.320581,400,180,0.002314975,270000,1.2735858,270000,699.8174321651459
0.038999997,1408.3697916666667,0.830370232462883,266.4994266197917,-0.0029750697,1.1442025,393,181,0.003904949,271500,1.2848079,271500,703.6272938251495
0.0,1408.8497409326426,0.29853785037994385,265.78527490155443,-0.00014421197,7.52187,390,182,9.602136e-05,273000,1.2362792,273000,707.4646291732788
0.072133295,1409.3247422680413,0.5328308045864105,264.41524771134027,-0.0039046218,1.061332,385,183,0.005814061,274500,1.2084538,274500,711.3558261394501
