eplenmean,nupdates,policy_entropy,value_loss,explained_variance,clipfrac,total_timesteps,fps,time_elapsed,serial_timesteps,policy_loss,eprewmean,approxkl
1498.6666666666667,93,0.8603739,0.101061165,0.7872171103954315,0.14613333,139500,389,367.0019967556,139500,-0.0070954007,0.312527376344086,0.01874679
1498.6914893617022,94,1.1592847,0.13316917,0.4444649815559387,0.13253337,141000,382,370.9260952472687,141000,-0.0047111874,0.3092026170212766,0.008075358
1498.7157894736843,95,1.1425128,0.21616712,0.3751465678215027,0.055466633,142500,375,374.92444682121277,142500,-0.004294218,0.3059478526315789,0.0048517585
1498.7395833333333,96,1.0725802,0.19747733,0.5994351804256439,0.059199966,144000,392,378.74711513519287,144000,-0.007006343,0.3027608958333333,0.008213847
1498.7628865979382,97,1.116231,0.16681533,0.5503674745559692,0.10039996,145500,389,382.5948905944824,145500,-0.006583609,0.2996396494845361,0.0071503473
1498.7857142857142,98,1.1165454,0.09732729,0.784567266702652,0.05546665,147000,394,386.40031719207764,147000,-0.0029671753,0.2965821020408163,0.0043489514
1498.8080808080808,99,0.82467425,0.20109938,0.432370126247406,0.14193337,148500,391,390.2363531589508,148500,-0.004131489,0.2935863232323232,0.009323954
1498.83,100,0.7635648,0.07284789,0.663898766040802,0.099,150000,386,394.1205871105194,150000,-0.005386852,0.29065046,0.0072427774
1498.851485148515,101,0.7958386,0.1454386,0.8267505317926407,0.0689333,151500,393,397.93407797813416,151500,-0.004226416,0.2877727326732673,0.022827696
1498.8725490196077,102,1.2017525,0.14295593,0.2789679765701294,0.06646663,153000,394,401.7372796535492,153000,-0.004503277,0.284951431372549,0.006279622
1498.893203883495,103,1.1444216,0.1400522,0.739222377538681,0.02919999,154500,384,405.63737177848816,154500,-0.0019454558,0.2821849126213592,0.004628239
1498.9134615384614,104,0.77490187,0.12083009,0.560375452041626,0.10786669,156000,390,409.47721767425537,156000,-0.0021597925,0.27947159615384615,0.0074852733
1498.9333333333334,105,0.7658802,0.10945746,0.2868680953979492,0.047866646,157500,393,413.2900540828705,157500,-0.0020499015,0.27680996190476187,0.0048043993
1498.9528301886792,106,0.76056105,0.04287581,0.8540509790182114,0.16866669,159000,390,417.13553977012634,159000,-0.004607232,0.2741985471698113,0.012305519
1498.9719626168223,107,1.167159,0.1193534,0.4793986678123474,0.15713334,160500,383,421.0435998439789,160500,-0.008364451,0.27163594392523366,0.009165597
1498.9907407407406,108,1.0938023,0.26592585,0.524643212556839,0.1311333,162000,381,424.97248125076294,162000,-0.006213099,0.26912079629629626,0.009296103
1499.0091743119267,109,0.68691707,0.037363824,0.6735067665576935,0.101200014,163500,388,428.8298370838165,163500,-0.004538695,0.2666517981651376,0.007277952
1499.0272727272727,110,1.1412619,0.059662465,0.7313349545001984,0.0819333,165000,380,432.7684667110443,165000,-0.0063965404,0.2642276909090909,0.0066141444
1499.045045045045,111,0.7350853,0.029049993,0.6173116862773895,0.07999998,166500,380,436.7133514881134,166500,-0.0028965054,0.26184726126126123,0.0063483496
1499.0625,112,1.1307669,0.10455922,0.37492847442626953,0.2016,168000,382,440.63524746894836,168000,-0.007187136,0.2595093392857143,0.012376145
1499.0796460176991,113,0.709053,0.037019063,0.45596975088119507,0.0619333,169500,373,444.6500754356384,169500,-0.0029639867,0.257212796460177,0.00491317
1499.0964912280701,114,0.71992064,0.041343912,0.392419695854187,0.0837333,171000,391,448.47718596458435,171000,-0.004691024,0.2549565438596491,0.006923541
1499.1130434782608,115,0.68560225,0.052892953,0.6041106879711151,0.13653335,172500,378,452.443852186203,172500,-0.010807229,0.2527395304347826,0.013307278
1499.1293103448277,116,1.0730691,0.06335764,0.5363580584526062,0.13633333,174000,387,456.3139445781708,174000,-0.0072298944,0.25056074137931034,0.008313808
1499.145299145299,117,0.6594976,0.03367678,0.7318729162216187,0.1118,175500,387,460.18401408195496,175500,-0.004248592,0.24841919658119657,0.008675046
1499.1610169491526,118,1.0358523,0.07143283,0.520863950252533,0.1352667,177000,394,463.9901897907257,177000,-0.0050144084,0.24631394915254237,0.009756556
1499.1764705882354,119,1.0117767,0.102345556,0.5968862175941467,0.1744667,178500,379,467.94729495048523,178500,-0.0052590477,0.24424408403361345,0.011455964
1499.1916666666666,120,0.96364325,0.06132464,0.7849983274936676,0.1114,180000,388,471.8118541240692,180000,-0.003973674,0.24220871666666666,0.008854827
1499.206611570248,121,1.0402398,0.04209025,0.4559372067451477,0.11853337,181500,383,475.72496461868286,181500,-0.0025242283,0.24020699173553717,0.008269971
1499.22131147541,122,0.63254803,0.13410206,0.4437848925590515,0.0777333,183000,386,479.60312843322754,183000,-0.00089800835,0.2382380819672131,0.0059516956
1499.2357723577236,123,1.0413451,0.028374113,0.7194994986057281,0.17266673,184500,384,483.50533080101013,184500,-0.007906048,0.23630118699186992,0.013159357
1499.25,124,1.0155032,0.06884798,0.7302825152873993,0.07466662,186000,393,487.32037925720215,186000,-0.0042394875,0.2343955322580645,0.005722133
1499.264,125,0.6751557,0.13568121,0.45985352993011475,0.06379997,187500,388,491.1805703639984,187500,-0.0013145481,0.23252036799999998,0.004421782
1499.2777777777778,126,1.0704923,0.01606336,0.6872674822807312,0.110733315,189000,384,495.07957100868225,189000,-0.0018095082,0.23067496825396824,0.007974873
1499.291338582677,127,1.1002263,0.014494574,0.6813055276870728,0.11820002,190500,367,499.1659924983978,190500,-0.0075708153,0.22885862992125983,0.028269641
1499.3046875,128,1.0833706,0.03727249,0.5255944132804871,0.11513335,192000,388,503.0290050506592,192000,-0.002757364,0.227070671875,0.008659975
1499.3178294573643,129,1.0242908,0.043765068,0.7647231370210648,0.08059996,193500,387,506.90490913391113,193500,-0.0059227217,0.22531043410852714,0.0077690454
1499.3307692307692,130,1.0608672,0.039510313,0.673934817314148,0.120999984,195000,393,510.7139539718628,195000,-0.0034476714,0.2235772769230769,0.009086039
1499.3435114503816,131,1.0300752,0.03897858,0.6795014142990112,0.12233339,196500,387,514.587025642395,196500,-0.0048840176,0.22187058015267175,0.008224781
1499.3560606060605,132,1.0796233,0.033557717,0.7220858335494995,0.12926665,198000,380,518.526816368103,198000,-0.005267861,0.2201897424242424,0.008705273
1499.3684210526317,133,0.61633974,0.11971886,0.5173348784446716,0.06419997,199500,391,522.3571884632111,199500,-0.005098949,0.21853418045112782,0.0043788315
1499.3805970149253,134,1.0576686,0.08372764,0.2641506791114807,0.08033331,201000,371,526.3985247612,201000,-0.004879393,0.21690332835820894,0.008094582
1499.3925925925926,135,0.6143046,0.097569935,0.44595545530319214,0.05779997,202500,388,530.2558083534241,202500,-0.0007639866,0.21529663703703703,0.0045515993
1499.4044117647059,136,1.101595,0.019343156,0.7914260178804398,0.14680003,204000,391,534.0890190601349,204000,-0.0032296567,0.21371357352941175,0.009631365
1499.4160583941605,137,1.0986481,0.09458362,0.28938060998916626,0.31273326,205500,391,537.9249558448792,205500,-0.012211845,0.2121536204379562,0.018775178
1499.427536231884,138,0.6941183,0.22023346,0.2505226731300354,0.15213336,207000,390,541.770112991333,207000,-0.009599162,0.21061627536231883,0.01114159
1499.4388489208634,139,0.7221706,0.18504803,0.5888931155204773,0.06459996,208500,390,545.608728647232,208500,-0.0041243993,0.20910105035971221,0.005256979
1499.45,140,1.1106704,0.1514634,0.5812312662601471,0.20279999,210000,389,549.4576992988586,210000,-0.0051505547,0.20760747142857142,0.012166751
