nupdates,fps,eprewmean,time_elapsed,explained_variance,policy_loss,approxkl,policy_entropy,total_timesteps,clipfrac,serial_timesteps,eplenmean,value_loss
1669,212,47.39333333333333,13899.914600133896,0.5251030325889587,-0.00039342963,0.009369505,1.4562712,3418112,0.09358724,854528,1491.1533333333334,1.9733437
1670,199,46.833333333333336,13910.202114105225,0.5662603974342346,0.0014283048,0.0033257492,1.4304997,3420160,0.03938802,855040,1492.7933333333333,3.076394
1671,196,47.35666666666667,13920.623850822449,0.45747554302215576,-3.7497608e-05,0.00040149371,1.4473339,3422208,0.00390625,855552,1492.7933333333333,4.4040265
1672,250,47.35666666666667,13928.786481380463,0.26294130086898804,0.009629364,0.007187261,1.4621893,3424256,0.08382162,856064,1492.7933333333333,6.588344
1673,234,48.343333333333334,13937.508445262909,0.4064764380455017,0.0020879672,0.0028233344,1.4664842,3426304,0.036295574,856576,1492.7933333333333,2.1080596
1674,230,48.05,13946.382997512817,0.4937889575958252,-0.0003055168,0.00036920558,1.4753951,3428352,0.0016276041,857088,1492.7933333333333,3.4522333
1675,249,48.05,13954.576673746109,0.5029464364051819,0.0031800326,0.0058536176,1.506101,3430400,0.06705729,857600,1492.7933333333333,1.0237007
1676,226,45.276666666666664,13963.605506896973,0.445811927318573,0.004080881,0.0053544273,1.4864384,3432448,0.07014974,858112,1492.7933333333333,1.5678836
1677,227,46.8,13972.62043094635,0.18604975938796997,8.319846e-05,0.001262732,1.4780716,3434496,0.013183594,858624,1492.7933333333333,25.549856
1678,252,46.8,13980.732793092728,0.6202492117881775,0.0028409408,0.002008322,1.4635668,3436544,0.018229166,859136,1492.7933333333333,0.36384585
1679,234,46.483333333333334,13989.450114488602,0.4511280059814453,-0.0013610437,0.0013582348,1.4703189,3438592,0.01171875,859648,1492.7933333333333,1.5937761
1680,230,45.39,13998.344870328903,0.8464990556240082,0.0007973804,0.0022472518,1.4897366,3440640,0.027832031,860160,1493.5666666666666,1.0064155
1681,231,44.96,14007.188009738922,0.8275894969701767,0.0027162007,0.0048717023,1.5153321,3442688,0.07096354,860672,1493.5666666666666,0.4998572
1682,242,44.96,14015.630435228348,0.4901074767112732,-0.00021485426,0.00013308613,1.5202469,3444736,0.0,861184,1493.5666666666666,1.4509147
1683,227,44.946666666666665,14024.64397406578,0.48252028226852417,0.0020662039,0.0016220057,1.5237259,3446784,0.018717447,861696,1493.5666666666666,3.7833157
1684,237,45.38333333333333,14033.255235910416,0.4130467176437378,-0.00051854673,0.00026891832,1.5485592,3448832,0.0,862208,1493.5666666666666,9.104622
1685,236,45.39,14041.905865907669,0.7553859502077103,-0.0001741092,0.00012804175,1.5647564,3450880,0.0,862720,1493.5666666666666,1.5535399
1686,228,45.53,14050.873177051544,0.7018534243106842,-0.00021050598,8.28048e-05,1.5553399,3452928,0.0,863232,1493.5666666666666,1.144197
1687,238,45.53,14059.45914387703,0.6070130467414856,0.00015808393,0.00016211979,1.555036,3454976,0.0,863744,1493.5666666666666,2.673751
1688,238,46.09,14068.049025058746,0.6858863532543182,-0.00045955632,0.0018687515,1.5574175,3457024,0.022623697,864256,1493.5666666666666,3.7352512
1689,225,46.64333333333333,14077.130945682526,0.5400174558162689,-0.00010621719,0.0008279826,1.5731969,3459072,0.009602864,864768,1493.5666666666666,5.948494
1690,238,46.64333333333333,14085.730380535126,0.40923911333084106,7.550573e-05,0.0007181696,1.5950546,3461120,0.0113932295,865280,1493.5666666666666,0.027441291
1691,235,46.64666666666667,14094.421253442764,0.21151971817016602,-0.00024247791,8.707742e-05,1.5915877,3463168,0.00016276042,865792,1493.5666666666666,0.034535274
1692,227,46.56666666666667,14103.425815105438,0.17376768589019775,0.0021107749,0.0037904854,1.58814,3465216,0.037760418,866304,1493.5666666666666,0.32205945
1693,239,46.56666666666667,14111.962878704071,-0.013152599334716797,0.0038429692,0.009439775,1.5767994,3467264,0.09488932,866816,1493.5666666666666,12.5879965
1694,233,46.45333333333333,14120.75218296051,0.009662151336669922,0.00041896515,0.0030293074,1.5920547,3469312,0.028971354,867328,1493.5666666666666,27.491957
1695,226,48.20666666666666,14129.776848316193,0.0160408616065979,0.00023844496,0.0041059763,1.586196,3471360,0.03564453,867840,1493.5666666666666,9.822231
1696,232,49.0,14138.570628404617,0.044850289821624756,0.014212929,0.016082766,1.5709143,3473408,0.14127605,868352,1493.5666666666666,3.0457964
1697,238,49.0,14147.170696020126,0.16069316864013672,0.0019312386,0.006952908,1.5574942,3475456,0.068847656,868864,1493.5666666666666,0.17661977
1698,231,49.016666666666666,14156.011047124863,0.12425941228866577,0.0044143437,0.004933966,1.5734777,3477504,0.04280599,869376,1493.5666666666666,1.6104895
1699,235,48.66,14164.696362733841,0.11746406555175781,0.0028644085,0.005255006,1.5886922,3479552,0.055989582,869888,1493.5666666666666,3.542174
1700,237,49.16,14173.327741622925,0.11571615934371948,0.00057456613,0.0014120284,1.5793009,3481600,0.018391928,870400,1493.5666666666666,0.025361268
1701,227,49.16,14182.330788135529,0.41765671968460083,0.0028722615,0.002163273,1.5730284,3483648,0.022786459,870912,1493.5666666666666,0.0659596
1702,239,49.16,14190.864841222763,0.202620267868042,-0.00014830194,3.4140354e-05,1.5878377,3485696,0.0,871424,1493.5666666666666,0.44686294
1703,227,49.75666666666667,14199.855083465576,0.10356420278549194,0.00026111878,0.0014717559,1.5811251,3487744,0.016927084,871936,1493.5666666666666,8.283189
1704,241,49.75,14208.318988084793,0.1692441701889038,-3.0078616e-06,4.6304074e-05,1.5919839,3489792,0.0,872448,1493.5666666666666,4.9503264
1705,232,50.19,14217.124664783478,0.2550138235092163,-0.00032452834,9.016513e-05,1.5947729,3491840,0.0,872960,1493.5666666666666,0.79124326
1706,239,50.193333333333335,14225.689075946808,0.467832088470459,-0.00075017614,0.00014693911,1.595503,3493888,0.0,873472,1493.5666666666666,0.36543056
1707,239,50.18333333333333,14234.236818552017,0.1271289587020874,-0.00022644177,7.2082556e-05,1.5937924,3495936,0.0,873984,1493.5666666666666,2.9185684
1708,235,50.64333333333333,14242.94119143486,0.05126392841339111,0.0008617548,0.0002627224,1.5914997,3497984,0.0,874496,1493.5666666666666,8.323074
1709,243,51.026666666666664,14251.344272136688,0.1353166103363037,7.1527124e-06,5.3160682e-05,1.5925379,3500032,0.0,875008,1493.5666666666666,3.8270884
1710,232,51.306666666666665,14260.154561281204,0.22493809461593628,-0.0006637724,0.00033937176,1.5895039,3502080,0.0,875520,1493.5666666666666,4.406515
1711,222,51.75666666666667,14269.368924379349,0.3138970136642456,-6.26673e-05,0.00065952976,1.5861946,3504128,0.008463542,876032,1493.5666666666666,3.5600584
1712,222,52.24666666666667,14278.557314395905,0.2759597897529602,0.0011687771,0.0017091777,1.5760187,3506176,0.03125,876544,1493.5666666666666,4.7460566
1713,244,52.24666666666667,14286.930321216583,0.3962790369987488,0.00078173797,0.0005198819,1.5721556,3508224,0.0073242188,877056,1493.5666666666666,9.272045
1714,224,53.46666666666667,14296.067371606827,0.4255272150039673,3.7297297e-05,0.00075831026,1.5800881,3510272,0.007975261,877568,1493.5666666666666,4.455912
1715,233,53.27,14304.844317436218,0.9595156461000443,0.00012939672,0.000119746845,1.5878783,3512320,0.00016276042,878080,1493.5666666666666,0.17201976
1716,231,53.27,14313.692755937576,0.785249650478363,-6.0939154e-05,1.535093e-05,1.5719295,3514368,0.0,878592,1493.5666666666666,0.668837
1717,222,53.39,14322.87802362442,0.6056260764598846,1.1033068e-05,0.00034131564,1.5629305,3516416,0.0053710938,879104,1493.5666666666666,3.4479828
1718,226,54.123333333333335,14331.904575586319,0.4824370741844177,-0.00021663301,8.785597e-05,1.5781449,3518464,0.00048828125,879616,1493.5666666666666,8.241353
1719,257,54.123333333333335,14339.868908405304,0.8601876497268677,0.0013582964,0.00514875,1.5747098,3520512,0.047526043,880128,1493.5666666666666,0.43849006
1720,226,53.96,14348.898426294327,0.7174009084701538,3.4307905e-05,0.00042385698,1.5719647,3522560,0.0045572915,880640,1493.5666666666666,1.7941923
1721,229,54.22666666666667,14357.838982582092,0.7257628440856934,-0.0012585012,0.00017015217,1.5663171,3524608,0.0017903646,881152,1493.5666666666666,3.2098095
1722,240,54.403333333333336,14366.343026638031,0.6244995296001434,-1.7708246e-05,1.385887e-05,1.5807847,3526656,0.0,881664,1493.5666666666666,1.821076
1723,243,54.39333333333333,14374.743893623352,0.05476045608520508,0.0011029621,0.0024259135,1.5960078,3528704,0.021972656,882176,1493.5666666666666,1.2410794
1724,228,54.8,14383.721783161163,0.4510842561721802,2.5282614e-05,0.0017622077,1.5820742,3530752,0.020670572,882688,1493.5666666666666,3.003143
1725,245,54.78,14392.067414045334,0.7919338494539261,-0.00015555818,4.773219e-05,1.5630261,3532800,0.0,883200,1493.5666666666666,1.2814777
1726,242,55.166666666666664,14400.527190685272,0.7416291534900665,-0.00022277252,9.1980095e-05,1.558403,3534848,0.0,883712,1493.5666666666666,3.5076427
1727,233,55.13,14409.301720619202,0.8124793320894241,0.0001567866,0.0013426637,1.5459675,3536896,0.024088541,884224,1493.5666666666666,2.26078
1728,233,55.086666666666666,14418.090199232101,0.8624403923749924,0.003882032,0.004333075,1.5536817,3538944,0.06754557,884736,1493.5666666666666,0.0034273472
1729,245,55.083333333333336,14426.449220180511,0.5042674839496613,0.0006402762,0.0011101263,1.5806481,3540992,0.016113281,885248,1493.5666666666666,0.0012492429
1730,232,54.92666666666667,14435.261621713638,0.8102013468742371,-0.00091701775,0.0004012715,1.4869052,3543040,0.0014648438,885760,1493.5666666666666,0.0035690218
1731,233,54.92666666666667,14444.040208101273,0.6812162101268768,0.011951826,0.0161495,1.4692847,3545088,0.12890625,886272,1493.5666666666666,0.004882243
1732,228,54.92666666666667,14453.014811038971,0.7646941840648651,-0.0003316044,0.0006983695,1.4757308,3547136,0.0081380205,886784,1493.5666666666666,0.002767303
1733,207,54.89333333333333,14462.889574050903,0.8269795626401901,0.005796286,0.0058961213,1.5496874,3549184,0.07324219,887296,1490.7033333333334,2.293626
1734,234,54.89333333333333,14471.609947919846,0.3036954998970032,-0.0003116106,8.085524e-05,1.5493373,3551232,0.00016276042,887808,1490.7033333333334,6.7999973
1735,226,54.96333333333333,14480.648846626282,0.4246375560760498,6.930344e-05,9.65622e-05,1.5257117,3553280,0.0,888320,1490.7033333333334,4.818463
1736,225,56.13,14489.74667263031,0.7303773760795593,0.00031763408,0.0032420808,1.527198,3555328,0.048665363,888832,1490.7033333333334,3.0444276
1737,253,56.13,14497.831023216248,0.7742754220962524,-0.00041650454,0.00013787499,1.5038018,3557376,0.0,889344,1490.7033333333334,0.98308283
1738,225,56.44,14506.932852983475,0.6019706428050995,0.0038019593,0.010739037,1.4954282,3559424,0.053222656,889856,1490.7033333333334,3.4102716
1739,224,56.02333333333333,14516.051751852036,0.7574987262487411,-0.00023901153,0.0004359933,1.5191334,3561472,0.0032552083,890368,1490.7033333333334,0.7906261
1740,251,56.02333333333333,14524.18822479248,0.5018959939479828,0.006549793,0.0106708,1.5083114,3563520,0.061035156,890880,1490.7033333333334,2.9395056
1741,234,56.79333333333334,14532.935415744781,0.6250888705253601,-0.00011668665,0.00014822857,1.5433798,3565568,0.001953125,891392,1490.7033333333334,3.5408125
1742,227,56.763333333333335,14541.956884145737,0.8584555834531784,-0.00018779638,0.00075219787,1.5777029,3567616,0.009114583,891904,1490.7033333333334,0.55045635
1743,260,56.763333333333335,14549.832042694092,0.7764843553304672,0.00060824194,0.0008061023,1.5691452,3569664,0.0071614585,892416,1490.7033333333334,0.86058617
1744,221,57.1,14559.083656549454,0.8787805661559105,-3.382191e-05,0.0002522958,1.5638493,3571712,0.003092448,892928,1490.7033333333334,1.2722307
1745,242,57.00666666666667,14567.521749019623,0.7167204022407532,-0.0004128859,7.630445e-05,1.55539,3573760,0.0,893440,1490.7033333333334,0.9010652
1746,250,57.306666666666665,14575.700058460236,0.44049596786499023,0.001561388,0.0018624234,1.5478655,3575808,0.016438803,893952,1490.7033333333334,5.4337783
1747,234,58.876666666666665,14584.41876244545,0.4868415594100952,0.0032007352,0.0063904445,1.5210356,3577856,0.04378255,894464,1490.7033333333334,9.976576
1748,244,58.876666666666665,14592.811410427094,0.7293807566165924,0.0012129024,0.0017848084,1.5437771,3579904,0.018717447,894976,1490.7033333333334,1.6092864
1749,242,58.876666666666665,14601.241759061813,0.5593373775482178,-0.00016746049,5.018451e-05,1.5531826,3581952,0.0,895488,1490.7033333333334,2.6147668
1750,231,59.263333333333335,14610.093825340271,0.0610731840133667,-3.8051978e-05,0.00025040505,1.5343565,3584000,0.0,896000,1490.7033333333334,5.989778
1751,251,59.86333333333334,14618.231905460358,0.024950802326202393,-0.0001276286,6.5917215e-05,1.5432762,3586048,0.0,896512,1490.7033333333334,1.3325518
1752,245,60.28666666666667,14626.58412861824,0.015772223472595215,0.000106765576,3.6484253e-05,1.5443517,3588096,0.0,897024,1490.7033333333334,2.5496998
1753,221,61.04666666666667,14635.810470819473,0.4341927766799927,0.00041030985,0.00034629196,1.5402355,3590144,0.0026041667,897536,1490.7033333333334,6.1113815
1754,263,61.04666666666667,14643.5791888237,0.7855449467897415,-0.00046726296,0.002241608,1.5571233,3592192,0.041992188,898048,1490.7033333333334,0.93018794
1755,260,61.35666666666667,14651.435186624527,0.5881393551826477,0.0037562866,0.009633766,1.5173963,3594240,0.07242838,898560,1490.7033333333334,3.1497345
1756,238,61.38,14660.00601863861,0.8630862534046173,-1.7358145e-05,0.000101822174,1.5184344,3596288,0.00032552084,899072,1490.7033333333334,3.1244876
1757,271,61.38,14667.5517847538,0.7272278964519501,0.0011243479,0.00083623896,1.5379297,3598336,0.009602864,899584,1490.7033333333334,0.84118813
1758,256,61.74333333333333,14675.528455734253,0.6136155426502228,-6.939223e-05,5.9806815e-05,1.5332464,3600384,0.0,900096,1490.7033333333334,3.730234
1759,240,61.596666666666664,14684.054800271988,0.7277014553546906,0.00010386078,0.0036918602,1.5149498,3602432,0.045247395,900608,1490.7033333333334,4.238624
1760,276,61.596666666666664,14691.468303918839,0.8825121149420738,0.0006144433,0.00053716154,1.5659267,3604480,0.0073242188,901120,1490.7033333333334,0.18400864
1761,262,61.44,14699.274587869644,0.6827251613140106,-0.0005459154,0.00019658887,1.5567352,3606528,0.00032552084,901632,1490.7033333333334,2.024832
1762,230,62.39333333333333,14708.178464651108,0.29993224143981934,0.0005764207,0.0014159549,1.5219709,3608576,0.015625,902144,1490.7033333333334,11.743604
1763,270,62.39333333333333,14715.749218940735,0.28146761655807495,0.000119066644,0.0003612706,1.5543236,3610624,0.0029296875,902656,1490.7033333333334,0.7774425
1764,261,62.473333333333336,14723.5933675766,0.4324941039085388,0.0005838351,0.00037275723,1.5466264,3612672,0.0029296875,903168,1490.7033333333334,2.3173664
1765,232,62.76,14732.389727830887,0.6264661252498627,0.00019940578,0.0020035764,1.5466194,3614720,0.026041666,903680,1490.7033333333334,2.7689114
1766,277,62.76,14739.782529115677,0.9557313583791256,0.0037656762,0.0044511347,1.5018178,3616768,0.06803385,904192,1490.7033333333334,0.043446347
1767,257,62.61666666666667,14747.72307419777,0.9114451631903648,0.0001281773,0.0037630007,1.4963955,3618816,0.05485026,904704,1490.7033333333334,0.6151199
1768,227,62.35333333333333,14756.722735404968,0.7492082715034485,-0.0003397432,0.00045009286,1.5449839,3620864,0.0024414062,905216,1490.7033333333334,1.2716626
1769,266,62.35333333333333,14764.408841371536,0.801427349448204,-0.000809092,0.0007917125,1.5591866,3622912,0.0013020834,905728,1490.7033333333334,0.113717735
1770,253,62.376666666666665,14772.474279642105,0.6168543994426727,0.0006670859,0.0021464583,1.5559734,3624960,0.021809896,906240,1490.7033333333334,0.5637884
1771,236,62.336666666666666,14781.144512414932,0.561620831489563,-0.000101444,9.3284965e-05,1.5589489,3627008,0.0,906752,1490.7033333333334,1.024012
1772,271,62.336666666666666,14788.684247255325,0.3972189426422119,-0.00037113111,4.766069e-05,1.5593475,3629056,0.0,907264,1490.7033333333334,1.210806
1773,254,62.336666666666666,14796.729598760605,0.15981686115264893,-0.00013905857,9.742201e-05,1.5589541,3631104,0.0,907776,1490.7033333333334,3.5381033
1774,234,63.18666666666667,14805.4568297863,0.5150869190692902,0.00021774112,0.0020479409,1.5627517,3633152,0.024088541,908288,1490.7033333333334,0.477664
1775,269,63.18666666666667,14813.04490852356,0.46264851093292236,-0.00020886927,9.2886185e-05,1.5601898,3635200,0.0,908800,1490.7033333333334,0.8145795
1776,248,63.18333333333333,14821.303219079971,0.648468405008316,-0.00029159352,0.00011789601,1.5594177,3637248,0.0,909312,1490.7033333333334,0.25568286
1777,246,63.20333333333333,14829.62031507492,0.4827389121055603,0.0005543477,0.0008760568,1.5733299,3639296,0.007486979,909824,1490.7033333333334,0.95874983
1778,273,63.20333333333333,14837.097182273865,0.5678500533103943,-3.9764214e-05,6.0802024e-05,1.5713245,3641344,0.0,910336,1490.7033333333334,0.35516348
1779,245,63.35333333333333,14845.436788320541,0.7040740251541138,0.0013170756,0.00023112894,1.5663332,3643392,0.0021158855,910848,1490.7033333333334,0.25813517
1780,250,63.45333333333333,14853.605448007584,0.47516918182373047,0.0019458327,0.0011381422,1.557726,3645440,0.017578125,911360,1490.7033333333334,0.90851873
1781,260,63.45333333333333,14861.454849004745,0.3627352714538574,-0.00045090448,0.00038136033,1.5674434,3647488,0.005859375,911872,1490.7033333333334,0.93295693
